年,品目,都道府県,作付面積・収穫面積（a）,出荷量（千本、千鉢、千球）
1998,切り花類_ばら,富山県,NA,NA
1999,切り花類_ばら,富山県,NA,NA
2000,切り花類_ばら,富山県,1,1060
2001,切り花類_ばら,富山県,1,1130
2002,切り花類_ばら,富山県,141,1130
2003,切り花類_ばら,富山県,141,1250
2004,切り花類_ばら,富山県,141,1210
2005,切り花類_ばら,富山県,NA,NA
2006,切り花類_ばら,富山県,NA,NA
2007,切り花類_ばら,富山県,124,998
2008,切り花類_ばら,富山県,NA,NA
2009,切り花類_ばら,富山県,NA,NA
2010,切り花類_ばら,富山県,105,759
2011,切り花類_ばら,富山県,NA,NA
2012,切り花類_ばら,富山県,NA,NA
2013,切り花類_ばら,富山県,42,810
2014,切り花類_ばら,富山県,NA,NA
2015,切り花類_ばら,富山県,NA,NA
2016,切り花類_ばら,富山県,86,579
2017,切り花類_ばら,富山県,NA,NA
2018,切り花類_ばら,富山県,NA,NA
2019,切り花類_ばら,富山県,43,317
2020,切り花類_ばら,富山県,NA,NA
2021,切り花類_ばら,富山県,NA,NA
1985,切り花類_ばら,山梨県,4,2060
1986,切り花類_ばら,山梨県,NA,NA
1987,切り花類_ばら,山梨県,NA,NA
1988,切り花類_ばら,山梨県,5,3000
1989,切り花類_ばら,山梨県,NA,NA
1990,切り花類_ばら,山梨県,6,3790
1991,切り花類_ばら,山梨県,7,4520
1992,切り花類_ばら,山梨県,7,5120
1993,切り花類_ばら,山梨県,7,5300
1994,切り花類_ばら,山梨県,10,5960
1995,切り花類_ばら,山梨県,NA,NA
1996,切り花類_ばら,山梨県,NA,NA
1997,切り花類_ばら,山梨県,9,5060
1998,切り花類_ばら,山梨県,NA,NA
1999,切り花類_ばら,山梨県,8,4990
2000,切り花類_ばら,山梨県,8,4880
2001,切り花類_ばら,山梨県,8,4700
2002,切り花類_ばら,山梨県,698,4300
2003,切り花類_ばら,山梨県,700,4380
2004,切り花類_ばら,山梨県,744,3720
2005,切り花類_ばら,山梨県,NA,NA
2006,切り花類_ばら,山梨県,NA,NA
2007,切り花類_ばら,山梨県,700,3220
2008,切り花類_ばら,山梨県,NA,NA
2009,切り花類_ばら,山梨県,NA,NA
2010,切り花類_ばら,山梨県,700,3800
2011,切り花類_ばら,山梨県,NA,NA
2012,切り花類_ばら,山梨県,NA,NA
2013,切り花類_ばら,山梨県,700,4100
2014,切り花類_ばら,山梨県,NA,NA
2015,切り花類_ばら,山梨県,NA,NA
2016,切り花類_ばら,山梨県,827,5570
2017,切り花類_ばら,山梨県,827,5480
2018,切り花類_ばら,山梨県,706,4630
2019,切り花類_ばら,山梨県,592,3760
2020,切り花類_ばら,山梨県,552,3320
2021,切り花類_ばら,山梨県,464,2670
1985,切り花類_ばら,長野県,30,23400
1986,切り花類_ばら,長野県,30,22600
1987,切り花類_ばら,長野県,32,25500
1988,切り花類_ばら,長野県,31,25600
1989,切り花類_ばら,長野県,30,22700
1990,切り花類_ばら,長野県,27,22500
1991,切り花類_ばら,長野県,30,23600
1992,切り花類_ばら,長野県,28,20800
1993,切り花類_ばら,長野県,29,20500
1994,切り花類_ばら,長野県,26,18200
1995,切り花類_ばら,長野県,23,15700
1996,切り花類_ばら,長野県,23,16100
1997,切り花類_ばら,長野県,21,16300
1998,切り花類_ばら,長野県,20,13600
1999,切り花類_ばら,長野県,21,14300
2000,切り花類_ばら,長野県,20,14700
2001,切り花類_ばら,長野県,19,13900
2002,切り花類_ばら,長野県,1820,13400
2003,切り花類_ばら,長野県,1590,11600
2004,切り花類_ばら,長野県,1840,11500
2005,切り花類_ばら,長野県,1700,10800
2006,切り花類_ばら,長野県,1760,10500
2007,切り花類_ばら,長野県,1800,7110
2008,切り花類_ばら,長野県,1740,6770
2009,切り花類_ばら,長野県,1680,6750
2010,切り花類_ばら,長野県,1680,6060
2011,切り花類_ばら,長野県,1450,5470
2012,切り花類_ばら,長野県,1370,5670
2013,切り花類_ばら,長野県,1160,5070
2014,切り花類_ばら,長野県,1110,4570
2015,切り花類_ばら,長野県,970,4380
2016,切り花類_ばら,長野県,940,5020
2017,切り花類_ばら,長野県,930,4820
2018,切り花類_ばら,長野県,900,4700
2019,切り花類_ばら,長野県,870,4400
2020,切り花類_ばら,長野県,810,4100
2021,切り花類_ばら,長野県,725,3680
1985,切り花類_ばら,岐阜県,6,5520
1986,切り花類_ばら,岐阜県,NA,NA
1987,切り花類_ばら,岐阜県,6,6050
1988,切り花類_ばら,岐阜県,7,6260
1989,切り花類_ばら,岐阜県,8,7110
1990,切り花類_ばら,岐阜県,10,8230
1991,切り花類_ばら,岐阜県,12,9980
1992,切り花類_ばら,岐阜県,12,10400
1993,切り花類_ばら,岐阜県,13,11300
1994,切り花類_ばら,岐阜県,13,11600
1995,切り花類_ばら,岐阜県,12,10200
1996,切り花類_ばら,岐阜県,11,10200
1997,切り花類_ばら,岐阜県,11,10300
1998,切り花類_ばら,岐阜県,11,9130
1999,切り花類_ばら,岐阜県,10,8830
2000,切り花類_ばら,岐阜県,9,8350
2001,切り花類_ばら,岐阜県,9,7800
2002,切り花類_ばら,岐阜県,931,7790
2003,切り花類_ばら,岐阜県,852,6910
2004,切り花類_ばら,岐阜県,857,7510
2005,切り花類_ばら,岐阜県,NA,NA
2006,切り花類_ばら,岐阜県,873,7440
2007,切り花類_ばら,岐阜県,873,7820
2008,切り花類_ばら,岐阜県,779,6980
2009,切り花類_ばら,岐阜県,767,6800
2010,切り花類_ばら,岐阜県,698,5700
2011,切り花類_ばら,岐阜県,706,5300
2012,切り花類_ばら,岐阜県,678,4880
2013,切り花類_ばら,岐阜県,666,4930
2014,切り花類_ばら,岐阜県,NA,NA
2015,切り花類_ばら,岐阜県,NA,NA
2016,切り花類_ばら,岐阜県,646,4790
2017,切り花類_ばら,岐阜県,NA,NA
2018,切り花類_ばら,岐阜県,614,4540
2019,切り花類_ばら,岐阜県,570,4120
2020,切り花類_ばら,岐阜県,500,3510
2021,切り花類_ばら,岐阜県,481,3230
1985,切り花類_ばら,静岡県,37,36700
1986,切り花類_ばら,静岡県,39,38900
1987,切り花類_ばら,静岡県,40,39500
1988,切り花類_ばら,静岡県,45,43900
1989,切り花類_ばら,静岡県,48,45600
1990,切り花類_ばら,静岡県,49,43000
1991,切り花類_ばら,静岡県,53,45200
1992,切り花類_ばら,静岡県,61,47400
1993,切り花類_ばら,静岡県,63,50600
1994,切り花類_ばら,静岡県,61,49400
1995,切り花類_ばら,静岡県,59,46000
1996,切り花類_ばら,静岡県,65,48600
1997,切り花類_ばら,静岡県,70,52700
1998,切り花類_ばら,静岡県,71,51900
1999,切り花類_ばら,静岡県,71,56900
2000,切り花類_ばら,静岡県,64,54100
2001,切り花類_ばら,静岡県,61,51100
2002,切り花類_ばら,静岡県,6000,47200
2003,切り花類_ばら,静岡県,5920,45300
2004,切り花類_ばら,静岡県,5580,43300
2005,切り花類_ばら,静岡県,4780,39500
2006,切り花類_ばら,静岡県,4550,34400
2007,切り花類_ばら,静岡県,4360,32300
2008,切り花類_ばら,静岡県,4350,31700
2009,切り花類_ばら,静岡県,4340,31000
2010,切り花類_ばら,静岡県,4330,29400
2011,切り花類_ばら,静岡県,4050,26100
2012,切り花類_ばら,静岡県,3960,24400
2013,切り花類_ばら,静岡県,3790,24800
2014,切り花類_ばら,静岡県,3690,23800
2015,切り花類_ばら,静岡県,3640,22900
2016,切り花類_ばら,静岡県,3530,22300
2017,切り花類_ばら,静岡県,3430,21500
2018,切り花類_ばら,静岡県,3400,20500
2019,切り花類_ばら,静岡県,3000,20000
2020,切り花類_ばら,静岡県,2940,19200
2021,切り花類_ばら,静岡県,2920,19200
1985,切り花類_ばら,愛知県,25,27500
1986,切り花類_ばら,愛知県,27,30800
1987,切り花類_ばら,愛知県,29,32400
1988,切り花類_ばら,愛知県,31,33400
1989,切り花類_ばら,愛知県,33,36200
1990,切り花類_ばら,愛知県,34,35500
1991,切り花類_ばら,愛知県,38,37700
1992,切り花類_ばら,愛知県,45,45900
1993,切り花類_ばら,愛知県,48,45800
1994,切り花類_ばら,愛知県,53,48700
1995,切り花類_ばら,愛知県,54,51300
1996,切り花類_ばら,愛知県,54,52700
1997,切り花類_ばら,愛知県,56,54300
1998,切り花類_ばら,愛知県,54,55800
1999,切り花類_ばら,愛知県,58,57500
2000,切り花類_ばら,愛知県,58,56200
2001,切り花類_ばら,愛知県,61,58900
2002,切り花類_ばら,愛知県,5980,58800
2003,切り花類_ばら,愛知県,6000,57200
2004,切り花類_ばら,愛知県,6150,57500
2005,切り花類_ばら,愛知県,5990,57400
2006,切り花類_ばら,愛知県,5800,54100
2007,切り花類_ばら,愛知県,6070,51600
2008,切り花類_ばら,愛知県,6140,52300
2009,切り花類_ばら,愛知県,5570,47600
2010,切り花類_ばら,愛知県,5230,51700
2011,切り花類_ばら,愛知県,5260,52600
2012,切り花類_ばら,愛知県,5170,50500
2013,切り花類_ばら,愛知県,5110,50000
2014,切り花類_ばら,愛知県,5200,49200
2015,切り花類_ばら,愛知県,5040,49100
2016,切り花類_ばら,愛知県,5030,47400
2017,切り花類_ばら,愛知県,4890,45600
2018,切り花類_ばら,愛知県,4870,43300
2019,切り花類_ばら,愛知県,4670,38900
2020,切り花類_ばら,愛知県,4660,32100
2021,切り花類_ばら,愛知県,4640,32200
1985,切り花類_ばら,三重県,6,5190
1986,切り花類_ばら,三重県,NA,NA
1987,切り花類_ばら,三重県,6,5820
1988,切り花類_ばら,三重県,6,5260
1989,切り花類_ばら,三重県,6,5900
1990,切り花類_ばら,三重県,8,6120
1991,切り花類_ばら,三重県,8,7530
1992,切り花類_ばら,三重県,9,8690
1993,切り花類_ばら,三重県,11,8420
1994,切り花類_ばら,三重県,12,8720
1995,切り花類_ばら,三重県,11,7560
1996,切り花類_ばら,三重県,11,8870
1997,切り花類_ばら,三重県,11,8750
1998,切り花類_ばら,三重県,11,8340
1999,切り花類_ばら,三重県,10,8260
2000,切り花類_ばら,三重県,11,7810
2001,切り花類_ばら,三重県,10,7610
2002,切り花類_ばら,三重県,976,7740
2003,切り花類_ばら,三重県,916,6940
2004,切り花類_ばら,三重県,865,6690
2005,切り花類_ばら,三重県,NA,NA
2006,切り花類_ばら,三重県,NA,NA
2007,切り花類_ばら,三重県,907,6060
2008,切り花類_ばら,三重県,NA,NA
2009,切り花類_ばら,三重県,NA,NA
2010,切り花類_ばら,三重県,835,5690
2011,切り花類_ばら,三重県,NA,NA
2012,切り花類_ばら,三重県,NA,NA
2013,切り花類_ばら,三重県,929,6780
2014,切り花類_ばら,三重県,830,6140
2015,切り花類_ばら,三重県,660,4900
2016,切り花類_ばら,三重県,602,4520
2017,切り花類_ばら,三重県,570,4330
2018,切り花類_ばら,三重県,570,4120
2019,切り花類_ばら,三重県,450,3970
2020,切り花類_ばら,三重県,NA,NA
2021,切り花類_ばら,三重県,NA,NA
1985,切り花類_ばら,滋賀県,14,16300
1986,切り花類_ばら,滋賀県,14,17100
1987,切り花類_ばら,滋賀県,14,16400
1988,切り花類_ばら,滋賀県,14,16400
1989,切り花類_ばら,滋賀県,15,15700
1990,切り花類_ばら,滋賀県,15,15800
1991,切り花類_ばら,滋賀県,15,16800
1992,切り花類_ばら,滋賀県,14,15200
1993,切り花類_ばら,滋賀県,14,15900
1994,切り花類_ばら,滋賀県,13,12900
1995,切り花類_ばら,滋賀県,12,12700
1996,切り花類_ばら,滋賀県,12,11400
1997,切り花類_ばら,滋賀県,11,10800
1998,切り花類_ばら,滋賀県,10,8930
1999,切り花類_ばら,滋賀県,11,8820
2000,切り花類_ばら,滋賀県,10,9930
2001,切り花類_ばら,滋賀県,9,7970
2002,切り花類_ばら,滋賀県,839,6520
2003,切り花類_ばら,滋賀県,840,5350
2004,切り花類_ばら,滋賀県,762,4930
2005,切り花類_ばら,滋賀県,NA,NA
2006,切り花類_ばら,滋賀県,NA,NA
2007,切り花類_ばら,滋賀県,826,5380
2008,切り花類_ばら,滋賀県,NA,NA
2009,切り花類_ばら,滋賀県,NA,NA
2010,切り花類_ばら,滋賀県,646,4170
2011,切り花類_ばら,滋賀県,NA,NA
2012,切り花類_ばら,滋賀県,NA,NA
2013,切り花類_ばら,滋賀県,598,3870
2014,切り花類_ばら,滋賀県,NA,NA
2015,切り花類_ばら,滋賀県,NA,NA
2016,切り花類_ばら,滋賀県,530,3970
2017,切り花類_ばら,滋賀県,NA,NA
2018,切り花類_ばら,滋賀県,NA,NA
2019,切り花類_ばら,滋賀県,912,6270
2020,切り花類_ばら,滋賀県,781,5980
2021,切り花類_ばら,滋賀県,752,5730
1985,切り花類_ばら,兵庫県,6,6340
1986,切り花類_ばら,兵庫県,6,6090
1987,切り花類_ばら,兵庫県,5,5480
1988,切り花類_ばら,兵庫県,6,6510
1989,切り花類_ばら,兵庫県,6,6320
1990,切り花類_ばら,兵庫県,7,5990
1991,切り花類_ばら,兵庫県,7,5630
1992,切り花類_ばら,兵庫県,9,6840
1993,切り花類_ばら,兵庫県,8,6790
1994,切り花類_ばら,兵庫県,8,5870
1995,切り花類_ばら,兵庫県,9,6160
1996,切り花類_ばら,兵庫県,8,5530
1997,切り花類_ばら,兵庫県,9,6990
1998,切り花類_ばら,兵庫県,8,6260
1999,切り花類_ばら,兵庫県,8,6120
2000,切り花類_ばら,兵庫県,7,5330
2001,切り花類_ばら,兵庫県,7,5220
2002,切り花類_ばら,兵庫県,655,4860
2003,切り花類_ばら,兵庫県,614,4620
2004,切り花類_ばら,兵庫県,612,4090
2005,切り花類_ばら,兵庫県,NA,NA
2006,切り花類_ばら,兵庫県,NA,NA
2007,切り花類_ばら,兵庫県,592,2970
2008,切り花類_ばら,兵庫県,NA,NA
2009,切り花類_ばら,兵庫県,NA,NA
2010,切り花類_ばら,兵庫県,459,2430
2011,切り花類_ばら,兵庫県,NA,NA
2012,切り花類_ばら,兵庫県,NA,NA
2013,切り花類_ばら,兵庫県,434,2330
2014,切り花類_ばら,兵庫県,NA,NA
2015,切り花類_ばら,兵庫県,NA,NA
2016,切り花類_ばら,兵庫県,558,3200
2017,切り花類_ばら,兵庫県,NA,NA
2018,切り花類_ばら,兵庫県,NA,NA
2019,切り花類_ばら,兵庫県,513,2960
2020,切り花類_ばら,兵庫県,494,2830
2021,切り花類_ばら,兵庫県,476,2740
1985,切り花類_ばら,奈良県,11,7570
1986,切り花類_ばら,奈良県,11,7480
1987,切り花類_ばら,奈良県,13,8120
1988,切り花類_ばら,奈良県,14,8490
1989,切り花類_ばら,奈良県,14,9020
1990,切り花類_ばら,奈良県,13,10300
1991,切り花類_ばら,奈良県,14,11200
1992,切り花類_ばら,奈良県,14,12800
1993,切り花類_ばら,奈良県,14,12400
1994,切り花類_ばら,奈良県,14,11100
1995,切り花類_ばら,奈良県,14,10900
1996,切り花類_ばら,奈良県,14,11100
1997,切り花類_ばら,奈良県,13,11200
1998,切り花類_ばら,奈良県,13,9510
1999,切り花類_ばら,奈良県,12,9240
2000,切り花類_ばら,奈良県,12,8780
2001,切り花類_ばら,奈良県,11,8680
2002,切り花類_ばら,奈良県,1080,8700
2003,切り花類_ばら,奈良県,1040,8140
2004,切り花類_ばら,奈良県,1060,8630
2005,切り花類_ばら,奈良県,1020,8260
2006,切り花類_ばら,奈良県,971,7330
2007,切り花類_ばら,奈良県,985,6620
2008,切り花類_ばら,奈良県,1040,5810
2009,切り花類_ばら,奈良県,1050,5910
2010,切り花類_ばら,奈良県,967,5740
2011,切り花類_ばら,奈良県,935,5460
2012,切り花類_ばら,奈良県,805,4800
2013,切り花類_ばら,奈良県,793,4770
2014,切り花類_ばら,奈良県,NA,NA
2015,切り花類_ばら,奈良県,NA,NA
2016,切り花類_ばら,奈良県,562,4070
2017,切り花類_ばら,奈良県,545,3890
2018,切り花類_ばら,奈良県,NA,NA
2019,切り花類_ばら,奈良県,485,3470
2020,切り花類_ばら,奈良県,NA,NA
2021,切り花類_ばら,奈良県,NA,NA
1985,切り花類_ばら,和歌山県,4,3090
1986,切り花類_ばら,和歌山県,NA,NA
1987,切り花類_ばら,和歌山県,NA,NA
1988,切り花類_ばら,和歌山県,10,7990
1989,切り花類_ばら,和歌山県,NA,NA
1990,切り花類_ばら,和歌山県,23,16200
1991,切り花類_ばら,和歌山県,26,20000
1992,切り花類_ばら,和歌山県,29,23300
1993,切り花類_ばら,和歌山県,31,24500
1994,切り花類_ばら,和歌山県,31,21600
1995,切り花類_ばら,和歌山県,32,21100
1996,切り花類_ばら,和歌山県,33,22600
1997,切り花類_ばら,和歌山県,32,21700
1998,切り花類_ばら,和歌山県,29,18400
1999,切り花類_ばら,和歌山県,26,16900
2000,切り花類_ばら,和歌山県,23,15700
2001,切り花類_ばら,和歌山県,24,16600
2002,切り花類_ばら,和歌山県,2060,12700
2003,切り花類_ばら,和歌山県,1880,11400
2004,切り花類_ばら,和歌山県,1840,11300
2005,切り花類_ばら,和歌山県,1810,11100
2006,切り花類_ばら,和歌山県,1540,8550
2007,切り花類_ばら,和歌山県,1610,8580
2008,切り花類_ばら,和歌山県,1530,8400
2009,切り花類_ばら,和歌山県,1530,7850
2010,切り花類_ばら,和歌山県,1480,7380
2011,切り花類_ばら,和歌山県,1440,7480
2012,切り花類_ばら,和歌山県,1350,7070
2013,切り花類_ばら,和歌山県,1200,5930
2014,切り花類_ばら,和歌山県,1090,5690
2015,切り花類_ばら,和歌山県,1030,5590
2016,切り花類_ばら,和歌山県,1000,5450
2017,切り花類_ばら,和歌山県,980,4950
2018,切り花類_ばら,和歌山県,869,4310
2019,切り花類_ばら,和歌山県,766,3860
2020,切り花類_ばら,和歌山県,705,3610
2021,切り花類_ばら,和歌山県,648,3560
1985,切り花類_ばら,鳥取県,3,1360
1986,切り花類_ばら,鳥取県,NA,NA
1987,切り花類_ばら,鳥取県,NA,NA
1988,切り花類_ばら,鳥取県,3,2220
1989,切り花類_ばら,鳥取県,NA,NA
1990,切り花類_ばら,鳥取県,5,1650
1991,切り花類_ばら,鳥取県,8,2850
1992,切り花類_ばら,鳥取県,7,2490
1993,切り花類_ばら,鳥取県,7,2570
1994,切り花類_ばら,鳥取県,7,2530
1995,切り花類_ばら,鳥取県,NA,NA
1996,切り花類_ばら,鳥取県,NA,NA
1997,切り花類_ばら,鳥取県,5,2900
1998,切り花類_ばら,鳥取県,NA,NA
1999,切り花類_ばら,鳥取県,4,2220
2000,切り花類_ばら,鳥取県,4,2120
2001,切り花類_ばら,鳥取県,4,2210
2002,切り花類_ばら,鳥取県,356,2130
2003,切り花類_ばら,鳥取県,336,1780
2004,切り花類_ばら,鳥取県,327,1940
2005,切り花類_ばら,鳥取県,NA,NA
2006,切り花類_ばら,鳥取県,NA,NA
2007,切り花類_ばら,鳥取県,380,1530
2008,切り花類_ばら,鳥取県,NA,NA
2009,切り花類_ばら,鳥取県,NA,NA
2010,切り花類_ばら,鳥取県,160,573
2011,切り花類_ばら,鳥取県,NA,NA
2012,切り花類_ばら,鳥取県,NA,NA
2013,切り花類_ばら,鳥取県,127,458
2014,切り花類_ばら,鳥取県,NA,NA
2015,切り花類_ばら,鳥取県,NA,NA
2016,切り花類_ばら,鳥取県,111,357
2017,切り花類_ばら,鳥取県,NA,NA
2018,切り花類_ばら,鳥取県,NA,NA
2019,切り花類_ばら,鳥取県,105,338
2020,切り花類_ばら,鳥取県,NA,NA
2021,切り花類_ばら,鳥取県,NA,NA
1985,切り花類_ばら,島根県,1,473
1986,切り花類_ばら,島根県,NA,NA
1987,切り花類_ばら,島根県,NA,NA
1988,切り花類_ばら,島根県,2,1330
1989,切り花類_ばら,島根県,NA,NA
1990,切り花類_ばら,島根県,2,1210
1991,切り花類_ばら,島根県,2,1150
1992,切り花類_ばら,島根県,2,1420
1993,切り花類_ばら,島根県,2,1530
1994,切り花類_ばら,島根県,3,1920
1995,切り花類_ばら,島根県,NA,NA
1996,切り花類_ばら,島根県,NA,NA
1997,切り花類_ばら,島根県,3,1960
1998,切り花類_ばら,島根県,NA,NA
1999,切り花類_ばら,島根県,3,2230
2000,切り花類_ばら,島根県,3,2460
2001,切り花類_ばら,島根県,3,2740
2002,切り花類_ばら,島根県,336,2600
2003,切り花類_ばら,島根県,341,2360
2004,切り花類_ばら,島根県,333,2240
2005,切り花類_ばら,島根県,NA,NA
2006,切り花類_ばら,島根県,NA,NA
2007,切り花類_ばら,島根県,310,1660
2008,切り花類_ばら,島根県,NA,NA
2009,切り花類_ばら,島根県,NA,NA
2010,切り花類_ばら,島根県,256,1550
2011,切り花類_ばら,島根県,NA,NA
2012,切り花類_ばら,島根県,NA,NA
2013,切り花類_ばら,島根県,242,1520
2014,切り花類_ばら,島根県,NA,NA
2015,切り花類_ばら,島根県,NA,NA
2016,切り花類_ばら,島根県,206,1290
2017,切り花類_ばら,島根県,NA,NA
2018,切り花類_ばら,島根県,NA,NA
2019,切り花類_ばら,島根県,150,1120
2020,切り花類_ばら,島根県,NA,NA
2021,切り花類_ばら,島根県,NA,NA
1985,切り花類_ばら,岡山県,3,2140
1986,切り花類_ばら,岡山県,NA,NA
1987,切り花類_ばら,岡山県,NA,NA
1988,切り花類_ばら,岡山県,6,4480
1989,切り花類_ばら,岡山県,NA,NA
1990,切り花類_ばら,岡山県,6,5830
1991,切り花類_ばら,岡山県,7,7280
1992,切り花類_ばら,岡山県,8,8120
1993,切り花類_ばら,岡山県,12,8850
1994,切り花類_ばら,岡山県,13,9270
1995,切り花類_ばら,岡山県,NA,NA
1996,切り花類_ばら,岡山県,13,9110
1997,切り花類_ばら,岡山県,13,10300
1998,切り花類_ばら,岡山県,14,10800
1999,切り花類_ばら,岡山県,13,10700
2000,切り花類_ばら,岡山県,13,9080
2001,切り花類_ばら,岡山県,14,9930
2002,切り花類_ばら,岡山県,1360,9020
2003,切り花類_ばら,岡山県,1310,8870
2004,切り花類_ばら,岡山県,1280,8710
2005,切り花類_ばら,岡山県,1190,7810
2006,切り花類_ばら,岡山県,962,7320
2007,切り花類_ばら,岡山県,977,6870
2008,切り花類_ばら,岡山県,994,6870
2009,切り花類_ばら,岡山県,934,6660
2010,切り花類_ばら,岡山県,968,6800
2011,切り花類_ばら,岡山県,975,6910
2012,切り花類_ばら,岡山県,1010,7050
2013,切り花類_ばら,岡山県,871,6920
2014,切り花類_ばら,岡山県,896,6920
2015,切り花類_ばら,岡山県,892,6640
2016,切り花類_ばら,岡山県,674,5190
2017,切り花類_ばら,岡山県,617,4700
2018,切り花類_ばら,岡山県,602,4150
2019,切り花類_ばら,岡山県,582,4030
2020,切り花類_ばら,岡山県,750,4760
2021,切り花類_ばら,岡山県,729,4390
1985,切り花類_ばら,広島県,6,3570
1986,切り花類_ばら,広島県,NA,NA
1987,切り花類_ばら,広島県,NA,NA
1988,切り花類_ばら,広島県,9,6440
1989,切り花類_ばら,広島県,NA,NA
1990,切り花類_ばら,広島県,11,7620
1991,切り花類_ばら,広島県,11,7530
1992,切り花類_ばら,広島県,12,8100
1993,切り花類_ばら,広島県,12,7870
1994,切り花類_ばら,広島県,12,7930
1995,切り花類_ばら,広島県,12,7300
1996,切り花類_ばら,広島県,NA,NA
1997,切り花類_ばら,広島県,11,7760
1998,切り花類_ばら,広島県,NA,NA
1999,切り花類_ばら,広島県,11,6780
2000,切り花類_ばら,広島県,11,6390
2001,切り花類_ばら,広島県,10,6200
2002,切り花類_ばら,広島県,1010,6010
2003,切り花類_ばら,広島県,951,5560
2004,切り花類_ばら,広島県,913,5000
2005,切り花類_ばら,広島県,NA,NA
2006,切り花類_ばら,広島県,NA,NA
2007,切り花類_ばら,広島県,787,5160
2008,切り花類_ばら,広島県,NA,NA
2009,切り花類_ばら,広島県,NA,NA
2010,切り花類_ばら,広島県,485,3870
2011,切り花類_ばら,広島県,NA,NA
2012,切り花類_ばら,広島県,NA,NA
2013,切り花類_ばら,広島県,425,3190
2014,切り花類_ばら,広島県,NA,NA
2015,切り花類_ばら,広島県,NA,NA
2016,切り花類_ばら,広島県,425,2620
2017,切り花類_ばら,広島県,NA,NA
2018,切り花類_ばら,広島県,NA,NA
2019,切り花類_ばら,広島県,319,1920
2020,切り花類_ばら,広島県,NA,NA
2021,切り花類_ばら,広島県,NA,NA
1985,切り花類_ばら,山口県,6,3200
1986,切り花類_ばら,山口県,NA,NA
1987,切り花類_ばら,山口県,NA,NA
1988,切り花類_ばら,山口県,5,3870
1989,切り花類_ばら,山口県,NA,NA
1990,切り花類_ばら,山口県,5,4460
1991,切り花類_ばら,山口県,5,3720
1992,切り花類_ばら,山口県,6,4190
1993,切り花類_ばら,山口県,5,3460
1994,切り花類_ばら,山口県,7,4080
1995,切り花類_ばら,山口県,NA,NA
1996,切り花類_ばら,山口県,NA,NA
1997,切り花類_ばら,山口県,8,4900
1998,切り花類_ばら,山口県,NA,NA
1999,切り花類_ばら,山口県,9,6330
2000,切り花類_ばら,山口県,9,6490
2001,切り花類_ばら,山口県,10,7990
2002,切り花類_ばら,山口県,889,7100
2003,切り花類_ばら,山口県,901,7150
2004,切り花類_ばら,山口県,889,6710
2005,切り花類_ばら,山口県,NA,NA
2006,切り花類_ばら,山口県,NA,NA
2007,切り花類_ばら,山口県,848,6530
2008,切り花類_ばら,山口県,871,6570
2009,切り花類_ばら,山口県,869,6440
2010,切り花類_ばら,山口県,869,6540
2011,切り花類_ばら,山口県,853,6060
2012,切り花類_ばら,山口県,851,5830
2013,切り花類_ばら,山口県,739,5760
2014,切り花類_ばら,山口県,622,5190
2015,切り花類_ばら,山口県,600,4620
2016,切り花類_ばら,山口県,578,4100
2017,切り花類_ばら,山口県,543,3460
2018,切り花類_ばら,山口県,NA,NA
2019,切り花類_ばら,山口県,537,3410
2020,切り花類_ばら,山口県,537,3300
2021,切り花類_ばら,山口県,532,3470
1985,切り花類_ばら,徳島県,5,4130
1986,切り花類_ばら,徳島県,NA,NA
1987,切り花類_ばら,徳島県,NA,NA
1988,切り花類_ばら,徳島県,4,4090
1989,切り花類_ばら,徳島県,NA,NA
1990,切り花類_ばら,徳島県,4,4080
1991,切り花類_ばら,徳島県,4,3760
1992,切り花類_ばら,徳島県,5,4350
1993,切り花類_ばら,徳島県,5,3830
1994,切り花類_ばら,徳島県,8,4890
1995,切り花類_ばら,徳島県,NA,NA
1996,切り花類_ばら,徳島県,NA,NA
1997,切り花類_ばら,徳島県,8,5840
1998,切り花類_ばら,徳島県,NA,NA
1999,切り花類_ばら,徳島県,8,7310
2000,切り花類_ばら,徳島県,8,7090
2001,切り花類_ばら,徳島県,5,3810
2002,切り花類_ばら,徳島県,377,3750
2003,切り花類_ばら,徳島県,370,3710
2004,切り花類_ばら,徳島県,361,3140
2005,切り花類_ばら,徳島県,NA,NA
2006,切り花類_ばら,徳島県,NA,NA
2007,切り花類_ばら,徳島県,314,3870
2008,切り花類_ばら,徳島県,NA,NA
2009,切り花類_ばら,徳島県,NA,NA
2010,切り花類_ばら,徳島県,314,4290
2011,切り花類_ばら,徳島県,NA,NA
2012,切り花類_ばら,徳島県,NA,NA
2013,切り花類_ばら,徳島県,290,2860
2014,切り花類_ばら,徳島県,NA,NA
2015,切り花類_ばら,徳島県,NA,NA
2016,切り花類_ばら,徳島県,NA,NA
2017,切り花類_ばら,徳島県,NA,NA
2018,切り花類_ばら,徳島県,NA,NA
2019,切り花類_ばら,徳島県,NA,NA
2020,切り花類_ばら,徳島県,NA,NA
2021,切り花類_ばら,徳島県,NA,NA
1985,切り花類_ばら,香川県,4,3810
1986,切り花類_ばら,香川県,NA,NA
1987,切り花類_ばら,香川県,NA,NA
1988,切り花類_ばら,香川県,3,2650
1989,切り花類_ばら,香川県,NA,NA
1990,切り花類_ばら,香川県,3,2860
1991,切り花類_ばら,香川県,3,2430
1992,切り花類_ばら,香川県,3,2520
1993,切り花類_ばら,香川県,3,2440
