年,品目,都道府県,作付面積・収穫面積（a）,出荷量（千本、千鉢、千球）
2005,花壇用苗もの類_サルビア,栃木県,NA,NA
2006,花壇用苗もの類_サルビア,栃木県,NA,NA
2007,花壇用苗もの類_サルビア,栃木県,NA,NA
2008,花壇用苗もの類_サルビア,栃木県,NA,NA
2009,花壇用苗もの類_サルビア,栃木県,NA,NA
2010,花壇用苗もの類_サルビア,栃木県,NA,NA
2011,花壇用苗もの類_サルビア,栃木県,NA,NA
2012,花壇用苗もの類_サルビア,栃木県,NA,NA
2013,花壇用苗もの類_サルビア,栃木県,NA,NA
2014,花壇用苗もの類_サルビア,栃木県,NA,NA
2015,花壇用苗もの類_サルビア,栃木県,NA,NA
2016,花壇用苗もの類_サルビア,栃木県,NA,NA
2017,花壇用苗もの類_サルビア,栃木県,NA,NA
2018,花壇用苗もの類_サルビア,栃木県,NA,NA
2019,花壇用苗もの類_サルビア,栃木県,NA,NA
2020,花壇用苗もの類_サルビア,栃木県,NA,NA
2021,花壇用苗もの類_サルビア,栃木県,NA,NA
1985,花壇用苗もの類_サルビア,群馬県,26,54
1986,花壇用苗もの類_サルビア,群馬県,NA,NA
1987,花壇用苗もの類_サルビア,群馬県,NA,NA
1988,花壇用苗もの類_サルビア,群馬県,34,123
1989,花壇用苗もの類_サルビア,群馬県,NA,NA
1990,花壇用苗もの類_サルビア,群馬県,75,260
1991,花壇用苗もの類_サルビア,群馬県,75,244
1992,花壇用苗もの類_サルビア,群馬県,79,257
1993,花壇用苗もの類_サルビア,群馬県,85,359
1994,花壇用苗もの類_サルビア,群馬県,85,364
1995,花壇用苗もの類_サルビア,群馬県,137,528
1996,花壇用苗もの類_サルビア,群馬県,149,570
1997,花壇用苗もの類_サルビア,群馬県,106,449
1998,花壇用苗もの類_サルビア,群馬県,114,452
1999,花壇用苗もの類_サルビア,群馬県,164,672
2000,花壇用苗もの類_サルビア,群馬県,171,628
2001,花壇用苗もの類_サルビア,群馬県,304,788
2002,花壇用苗もの類_サルビア,群馬県,215,621
2003,花壇用苗もの類_サルビア,群馬県,247,724
2004,花壇用苗もの類_サルビア,群馬県,209,555
2005,花壇用苗もの類_サルビア,群馬県,176,469
2006,花壇用苗もの類_サルビア,群馬県,172,484
2007,花壇用苗もの類_サルビア,群馬県,NA,NA
2008,花壇用苗もの類_サルビア,群馬県,NA,NA
2009,花壇用苗もの類_サルビア,群馬県,NA,NA
2010,花壇用苗もの類_サルビア,群馬県,NA,NA
2011,花壇用苗もの類_サルビア,群馬県,NA,NA
2012,花壇用苗もの類_サルビア,群馬県,NA,NA
2013,花壇用苗もの類_サルビア,群馬県,NA,NA
2014,花壇用苗もの類_サルビア,群馬県,NA,NA
2015,花壇用苗もの類_サルビア,群馬県,NA,NA
2016,花壇用苗もの類_サルビア,群馬県,NA,NA
2017,花壇用苗もの類_サルビア,群馬県,NA,NA
2018,花壇用苗もの類_サルビア,群馬県,NA,NA
2019,花壇用苗もの類_サルビア,群馬県,NA,NA
2020,花壇用苗もの類_サルビア,群馬県,NA,NA
2021,花壇用苗もの類_サルビア,群馬県,NA,NA
1985,花壇用苗もの類_サルビア,埼玉県,111,856
1986,花壇用苗もの類_サルビア,埼玉県,128,1090
1987,花壇用苗もの類_サルビア,埼玉県,202,1350
1988,花壇用苗もの類_サルビア,埼玉県,149,1110
1989,花壇用苗もの類_サルビア,埼玉県,186,1340
1990,花壇用苗もの類_サルビア,埼玉県,195,1360
1991,花壇用苗もの類_サルビア,埼玉県,202,1530
1992,花壇用苗もの類_サルビア,埼玉県,210,1600
1993,花壇用苗もの類_サルビア,埼玉県,294,1790
1994,花壇用苗もの類_サルビア,埼玉県,256,1600
1995,花壇用苗もの類_サルビア,埼玉県,254,1630
1996,花壇用苗もの類_サルビア,埼玉県,247,1710
1997,花壇用苗もの類_サルビア,埼玉県,336,2240
1998,花壇用苗もの類_サルビア,埼玉県,368,2750
1999,花壇用苗もの類_サルビア,埼玉県,453,2650
2000,花壇用苗もの類_サルビア,埼玉県,447,2300
2001,花壇用苗もの類_サルビア,埼玉県,374,1770
2002,花壇用苗もの類_サルビア,埼玉県,371,1780
2003,花壇用苗もの類_サルビア,埼玉県,309,1470
2004,花壇用苗もの類_サルビア,埼玉県,361,1750
2005,花壇用苗もの類_サルビア,埼玉県,366,1770
2006,花壇用苗もの類_サルビア,埼玉県,412,1910
2007,花壇用苗もの類_サルビア,埼玉県,NA,NA
2008,花壇用苗もの類_サルビア,埼玉県,NA,NA
2009,花壇用苗もの類_サルビア,埼玉県,NA,NA
2010,花壇用苗もの類_サルビア,埼玉県,NA,NA
2011,花壇用苗もの類_サルビア,埼玉県,NA,NA
2012,花壇用苗もの類_サルビア,埼玉県,NA,NA
2013,花壇用苗もの類_サルビア,埼玉県,NA,NA
2014,花壇用苗もの類_サルビア,埼玉県,NA,NA
2015,花壇用苗もの類_サルビア,埼玉県,NA,NA
2016,花壇用苗もの類_サルビア,埼玉県,NA,NA
2017,花壇用苗もの類_サルビア,埼玉県,NA,NA
2018,花壇用苗もの類_サルビア,埼玉県,NA,NA
2019,花壇用苗もの類_サルビア,埼玉県,NA,NA
2020,花壇用苗もの類_サルビア,埼玉県,NA,NA
2021,花壇用苗もの類_サルビア,埼玉県,NA,NA
1985,花壇用苗もの類_サルビア,千葉県,198,723
1986,花壇用苗もの類_サルビア,千葉県,144,311
1987,花壇用苗もの類_サルビア,千葉県,115,310
1988,花壇用苗もの類_サルビア,千葉県,250,480
1989,花壇用苗もの類_サルビア,千葉県,180,504
1990,花壇用苗もの類_サルビア,千葉県,136,355
1991,花壇用苗もの類_サルビア,千葉県,147,370
1992,花壇用苗もの類_サルビア,千葉県,153,385
1993,花壇用苗もの類_サルビア,千葉県,172,480
1994,花壇用苗もの類_サルビア,千葉県,181,483
1995,花壇用苗もの類_サルビア,千葉県,229,592
1996,花壇用苗もの類_サルビア,千葉県,263,682
1997,花壇用苗もの類_サルビア,千葉県,226,570
1998,花壇用苗もの類_サルビア,千葉県,274,723
1999,花壇用苗もの類_サルビア,千葉県,411,1750
2000,花壇用苗もの類_サルビア,千葉県,357,1320
2001,花壇用苗もの類_サルビア,千葉県,420,1730
2002,花壇用苗もの類_サルビア,千葉県,470,1750
2003,花壇用苗もの類_サルビア,千葉県,429,1640
2004,花壇用苗もの類_サルビア,千葉県,318,1330
2005,花壇用苗もの類_サルビア,千葉県,385,1390
2006,花壇用苗もの類_サルビア,千葉県,383,1330
2007,花壇用苗もの類_サルビア,千葉県,NA,NA
2008,花壇用苗もの類_サルビア,千葉県,NA,NA
2009,花壇用苗もの類_サルビア,千葉県,NA,NA
2010,花壇用苗もの類_サルビア,千葉県,NA,NA
2011,花壇用苗もの類_サルビア,千葉県,NA,NA
2012,花壇用苗もの類_サルビア,千葉県,NA,NA
2013,花壇用苗もの類_サルビア,千葉県,NA,NA
2014,花壇用苗もの類_サルビア,千葉県,NA,NA
2015,花壇用苗もの類_サルビア,千葉県,NA,NA
2016,花壇用苗もの類_サルビア,千葉県,NA,NA
2017,花壇用苗もの類_サルビア,千葉県,NA,NA
2018,花壇用苗もの類_サルビア,千葉県,NA,NA
2019,花壇用苗もの類_サルビア,千葉県,NA,NA
2020,花壇用苗もの類_サルビア,千葉県,NA,NA
2021,花壇用苗もの類_サルビア,千葉県,NA,NA
1985,花壇用苗もの類_サルビア,東京都,82,204
1986,花壇用苗もの類_サルビア,東京都,NA,NA
1987,花壇用苗もの類_サルビア,東京都,NA,NA
1988,花壇用苗もの類_サルビア,東京都,84,184
1989,花壇用苗もの類_サルビア,東京都,NA,NA
1990,花壇用苗もの類_サルビア,東京都,96,235
1991,花壇用苗もの類_サルビア,東京都,84,218
1992,花壇用苗もの類_サルビア,東京都,99,221
1993,花壇用苗もの類_サルビア,東京都,125,255
1994,花壇用苗もの類_サルビア,東京都,109,255
1995,花壇用苗もの類_サルビア,東京都,95,216
1996,花壇用苗もの類_サルビア,東京都,116,279
1997,花壇用苗もの類_サルビア,東京都,101,245
1998,花壇用苗もの類_サルビア,東京都,97,262
1999,花壇用苗もの類_サルビア,東京都,101,257
2000,花壇用苗もの類_サルビア,東京都,105,248
2001,花壇用苗もの類_サルビア,東京都,116,321
2002,花壇用苗もの類_サルビア,東京都,116,300
2003,花壇用苗もの類_サルビア,東京都,108,320
2004,花壇用苗もの類_サルビア,東京都,138,361
2005,花壇用苗もの類_サルビア,東京都,NA,NA
2006,花壇用苗もの類_サルビア,東京都,NA,NA
2007,花壇用苗もの類_サルビア,東京都,NA,NA
2008,花壇用苗もの類_サルビア,東京都,NA,NA
2009,花壇用苗もの類_サルビア,東京都,NA,NA
2010,花壇用苗もの類_サルビア,東京都,NA,NA
2011,花壇用苗もの類_サルビア,東京都,NA,NA
2012,花壇用苗もの類_サルビア,東京都,NA,NA
2013,花壇用苗もの類_サルビア,東京都,NA,NA
2014,花壇用苗もの類_サルビア,東京都,NA,NA
2015,花壇用苗もの類_サルビア,東京都,NA,NA
2016,花壇用苗もの類_サルビア,東京都,NA,NA
2017,花壇用苗もの類_サルビア,東京都,NA,NA
2018,花壇用苗もの類_サルビア,東京都,NA,NA
2019,花壇用苗もの類_サルビア,東京都,NA,NA
2020,花壇用苗もの類_サルビア,東京都,NA,NA
2021,花壇用苗もの類_サルビア,東京都,NA,NA
