年,品目,都道府県,作付面積（ha）,収穫量（t）,出荷量（t）
1988,小麦,佐賀県,12600,26200,23580
1989,小麦,佐賀県,11500,35500,31950
1990,小麦,佐賀県,9380,34000,30600
1991,小麦,佐賀県,8290,6220,5598
1992,小麦,佐賀県,7420,25600,23040
1993,小麦,佐賀県,7490,25500,22950
1994,小麦,佐賀県,5950,20600,18540
1995,小麦,佐賀県,5980,24800,22320
1996,小麦,佐賀県,6660,10400,9360
1997,小麦,佐賀県,5860,17800,16020
1998,小麦,佐賀県,5800,10500,9450
1999,小麦,佐賀県,6880,31500,28350
2000,小麦,佐賀県,7260,33900,30510
2001,小麦,佐賀県,7970,29000,26100
2002,小麦,佐賀県,8170,26500,23850
2003,小麦,佐賀県,8910,26700,24030
2004,小麦,佐賀県,10500,41900,37710
2005,小麦,佐賀県,11300,49100,44190
2006,小麦,佐賀県,11600,45100,40590
2007,小麦,佐賀県,11500,52600,47340
2008,小麦,佐賀県,11500,57500,51750
2009,小麦,佐賀県,11200,39400,35460
2010,小麦,佐賀県,10900,28100,25290
2011,小麦,佐賀県,11100,30900,27810
2012,小麦,佐賀県,10500,34700,31230
2013,小麦,佐賀県,9910,29600,26640
2014,小麦,佐賀県,9690,34400,30960
2015,小麦,佐賀県,9850,29800,26820
2016,小麦,佐賀県,9760,26500,23850
2017,小麦,佐賀県,9640,34600,31140
2018,小麦,佐賀県,10100,36900,33210
2019,小麦,佐賀県,10300,46200,41580
2020,小麦,佐賀県,10600,39100,35190
2021,小麦,佐賀県,11600,56700,51030
1985,小麦,長崎県,4760,13400,12060
1986,小麦,長崎県,4690,13500,12150
1987,小麦,長崎県,5060,11300,10170
1988,小麦,長崎県,4990,10200,9180
1989,小麦,長崎県,4510,10300,9270
1990,小麦,長崎県,3350,8610,7749
1991,小麦,長崎県,2390,2200,1980
1992,小麦,長崎県,1300,3590,3231
1993,小麦,長崎県,1060,3000,2700
1994,小麦,長崎県,565,1470,1323
1995,小麦,長崎県,770,2590,2331
1996,小麦,長崎県,742,2340,2106
1997,小麦,長崎県,646,1530,1377
1998,小麦,長崎県,646,736,662.4
1999,小麦,長崎県,673,2420,2178
2000,小麦,長崎県,727,2560,2304
2001,小麦,長崎県,762,2250,2025
2002,小麦,長崎県,852,2560,2304
2003,小麦,長崎県,1010,2550,2295
2004,小麦,長崎県,1040,3430,3087
2005,小麦,長崎県,1020,3640,3276
2006,小麦,長崎県,963,3260,2934
2007,小麦,長崎県,828,3420,3078
2008,小麦,長崎県,771,3220,2898
2009,小麦,長崎県,697,1750,1575
2010,小麦,長崎県,722,1640,1476
2011,小麦,長崎県,799,2250,2025
2012,小麦,長崎県,694,1730,1557
2013,小麦,長崎県,648,1570,1413
2014,小麦,長崎県,636,1780,1602
2015,小麦,長崎県,663,1610,1449
2016,小麦,長崎県,633,1350,1215
2017,小麦,長崎県,535,1490,1341
2018,小麦,長崎県,608,1570,1413
2019,小麦,長崎県,583,1910,1719
2020,小麦,長崎県,599,1620,1458
2021,小麦,長崎県,651,2250,2025
1985,小麦,熊本県,14000,38900,35010
1986,小麦,熊本県,13900,39900,35910
1987,小麦,熊本県,14300,33500,30150
1988,小麦,熊本県,13300,31400,28260
1989,小麦,熊本県,12200,28100,25290
1990,小麦,熊本県,9250,25500,22950
1991,小麦,熊本県,7500,13400,12060
1992,小麦,熊本県,4310,11700,10530
1993,小麦,熊本県,3900,9910,8919
1994,小麦,熊本県,2990,9030,8127
1995,小麦,熊本県,3120,10000,9000
1996,小麦,熊本県,3160,10500,9450
1997,小麦,熊本県,3130,9420,8478
1998,小麦,熊本県,3240,778,700.2
1999,小麦,熊本県,3140,12400,11160
2000,小麦,熊本県,3520,14900,13410
2001,小麦,熊本県,4130,12600,11340
2002,小麦,熊本県,4410,14600,13140
2003,小麦,熊本県,4800,14600,13140
2004,小麦,熊本県,4930,17700,15930
2005,小麦,熊本県,5110,18200,16380
2006,小麦,熊本県,5410,19200,17280
2007,小麦,熊本県,4940,19200,17280
2008,小麦,熊本県,4820,19000,17100
2009,小麦,熊本県,4530,11600,10440
2010,小麦,熊本県,4620,9290,8361
2011,小麦,熊本県,4890,14200,12780
2012,小麦,熊本県,4890,13800,12420
2013,小麦,熊本県,4640,14300,12870
2014,小麦,熊本県,4820,16200,14580
2015,小麦,熊本県,4900,13600,12240
2016,小麦,熊本県,5080,13200,11880
2017,小麦,熊本県,4880,14200,12780
2018,小麦,熊本県,4970,15300,13770
2019,小麦,熊本県,4900,18500,16650
2020,小麦,熊本県,5010,16500,14850
2021,小麦,熊本県,5150,21600,19440
1985,小麦,大分県,9150,25700,23130
1986,小麦,大分県,9270,30500,27450
1987,小麦,大分県,9680,30700,27630
1988,小麦,大分県,9530,27400,24660
1989,小麦,大分県,9840,25500,22950
1990,小麦,大分県,7970,24500,22050
1991,小麦,大分県,5650,14500,13050
1992,小麦,大分県,3150,10300,9270
1993,小麦,大分県,2790,9680,8712
1994,小麦,大分県,1880,6030,5427
1995,小麦,大分県,1820,7150,6435
1996,小麦,大分県,1920,7550,6795
1997,小麦,大分県,1980,6180,5562
1998,小麦,大分県,1940,3410,3069
1999,小麦,大分県,2510,9860,8874
2000,小麦,大分県,3010,10400,9360
2001,小麦,大分県,3240,8260,7434
2002,小麦,大分県,3260,8150,7335
2003,小麦,大分県,3420,8790,7911
2004,小麦,大分県,3360,9080,8172
2005,小麦,大分県,3390,9030,8127
2006,小麦,大分県,3400,9330,8397
2007,小麦,大分県,3000,9660,8694
2008,小麦,大分県,2680,8580,7722
2009,小麦,大分県,2420,6120,5508
2010,小麦,大分県,2340,5240,4716
2011,小麦,大分県,2600,5620,5058
2012,小麦,大分県,2540,5460,4914
2013,小麦,大分県,2440,6760,6084
2014,小麦,大分県,2520,7310,6579
2015,小麦,大分県,2560,4790,4311
2016,小麦,大分県,2810,5340,4806
2017,小麦,大分県,2690,6780,6102
2018,小麦,大分県,2750,7730,6957
2019,小麦,大分県,2780,8900,8010
2020,小麦,大分県,2770,7980,7182
2021,小麦,大分県,2790,9820,8838
1985,小麦,宮崎県,512,1290,1161
1986,小麦,宮崎県,424,1100,990
1987,小麦,宮崎県,360,904,813.6
1988,小麦,宮崎県,313,820,738
1989,小麦,宮崎県,315,753,677.7
1990,小麦,宮崎県,232,582,523.8
1991,小麦,宮崎県,139,310,279
1992,小麦,宮崎県,73,193,173.7
1993,小麦,宮崎県,66,168,151.2
1994,小麦,宮崎県,66,177,159.3
1995,小麦,宮崎県,62,169,152.1
1996,小麦,宮崎県,49,130,117
1997,小麦,宮崎県,38,109,98.1
1998,小麦,宮崎県,41,79,71.1
1999,小麦,宮崎県,39,108,97.2
2000,小麦,宮崎県,37,111,99.9
2001,小麦,宮崎県,36,98,88.2
2002,小麦,宮崎県,40,112,100.8
2003,小麦,宮崎県,51,134,120.6
2004,小麦,宮崎県,51,138,124.2
2005,小麦,宮崎県,45,132,118.8
2006,小麦,宮崎県,33,91,81.9
2007,小麦,宮崎県,43,119,107.1
2008,小麦,宮崎県,66,187,168.3
2009,小麦,宮崎県,85,284,255.6
2010,小麦,宮崎県,58,115,103.5
2011,小麦,宮崎県,51,91,81.9
2012,小麦,宮崎県,52,89,80.1
2013,小麦,宮崎県,65,159,143.1
2014,小麦,宮崎県,97,284,255.6
2015,小麦,宮崎県,95,97,87.3
2016,小麦,宮崎県,117,147,132.3
2017,小麦,宮崎県,111,285,256.5
2018,小麦,宮崎県,116,139,125.1
2019,小麦,宮崎県,103,269,242.1
2020,小麦,宮崎県,113,391,351.9
2021,小麦,宮崎県,103,133,119.7
1985,小麦,鹿児島県,1210,2760,2484
1986,小麦,鹿児島県,1010,2620,2358
1987,小麦,鹿児島県,949,2140,1926
1988,小麦,鹿児島県,804,1900,1710
1989,小麦,鹿児島県,582,338,304.2
1990,小麦,鹿児島県,324,632,568.8
1991,小麦,鹿児島県,121,254,228.6
1992,小麦,鹿児島県,71,169,152.1
1993,小麦,鹿児島県,61,147,132.3
1994,小麦,鹿児島県,44,109,98.1
1995,小麦,鹿児島県,36,82,73.8
1996,小麦,鹿児島県,33,85,76.5
1997,小麦,鹿児島県,30,74,66.6
1998,小麦,鹿児島県,32,59,53.1
1999,小麦,鹿児島県,33,79,71.1
2000,小麦,鹿児島県,31,87,78.3
2001,小麦,鹿児島県,29,69,62.1
2002,小麦,鹿児島県,27,63,56.7
2003,小麦,鹿児島県,24,50,45
2004,小麦,鹿児島県,26,64,57.6
2005,小麦,鹿児島県,23,61,54.9
2006,小麦,鹿児島県,26,62,55.8
2007,小麦,鹿児島県,19,46,41.4
2008,小麦,鹿児島県,22,56,50.4
2009,小麦,鹿児島県,20,40,36
2010,小麦,鹿児島県,27,54,48.6
2011,小麦,鹿児島県,59,102,91.8
2012,小麦,鹿児島県,48,75,67.5
2013,小麦,鹿児島県,32,65,58.5
2014,小麦,鹿児島県,49,89,80.1
2015,小麦,鹿児島県,42,54,48.6
2016,小麦,鹿児島県,40,40,36
2017,小麦,鹿児島県,35,57,51.3
2018,小麦,鹿児島県,35,43,38.7
2019,小麦,鹿児島県,33,55,49.5
2020,小麦,鹿児島県,32,57,51.3
2021,小麦,鹿児島県,33,73,65.7
1985,小麦,沖縄県,3,4,NA
1986,小麦,沖縄県,3,4,NA
1987,小麦,沖縄県,2,3,NA
1988,小麦,沖縄県,2,3,NA
1989,小麦,沖縄県,2,3,NA
1990,小麦,沖縄県,2,3,NA
1991,小麦,沖縄県,2,3,NA
1992,小麦,沖縄県,2,3,NA
1993,小麦,沖縄県,5,7,6.3
1994,小麦,沖縄県,7,9,8.1
1995,小麦,沖縄県,9,12,10.8
1996,小麦,沖縄県,13,19,17.1
1997,小麦,沖縄県,9,14,12.6
1998,小麦,沖縄県,8,10,9
1999,小麦,沖縄県,7,10,9
2000,小麦,沖縄県,6,10,9
2001,小麦,沖縄県,5,8,7.2
2002,小麦,沖縄県,8,16,14.4
2003,小麦,沖縄県,10,26,23.4
2004,小麦,沖縄県,10,17,15.3
2005,小麦,沖縄県,8,15,13.5
2006,小麦,沖縄県,10,14,12.6
2007,小麦,沖縄県,14,24,21.6
2008,小麦,沖縄県,11,14,12.6
2009,小麦,沖縄県,10,15,13.5
2010,小麦,沖縄県,8,12,10.8
2011,小麦,沖縄県,8,17,15.3
2012,小麦,沖縄県,11,16,14.4
2013,小麦,沖縄県,16,36,32.4
2014,小麦,沖縄県,23,49,44.1
2015,小麦,沖縄県,13,23,20.7
2016,小麦,沖縄県,27,32,28.8
2017,小麦,沖縄県,23,28,25.2
2018,小麦,沖縄県,29,45,40.5
2019,小麦,沖縄県,16,15,13.5
2020,小麦,沖縄県,13,19,17.1
2021,小麦,沖縄県,12,16,14.4
1985,水稲,北海道,163900,815100,733590
1986,水稲,北海道,158300,832100,748890
1987,水稲,北海道,150000,708100,637290
1988,水稲,北海道,148900,763100,686790
1989,水稲,北海道,148200,779500,701550
1990,水稲,北海道,146300,789700,710730
1991,水稲,北海道,145100,724900,652410
1992,水稲,北海道,162200,722300,650070
1993,水稲,北海道,172600,350700,315630
1994,水稲,北海道,175800,950300,855270
1995,水稲,北海道,163200,852200,766980
1996,水稲,北海道,154800,792500,713250
1997,水稲,北海道,154300,801600,721440
1998,水稲,北海道,141700,759800,683820
1999,水稲,北海道,138500,739200,665280
2000,水稲,北海道,134900,729100,656190
2001,水稲,北海道,122000,642100,577890
2002,水稲,北海道,120200,579800,521820
2003,水稲,北海道,117800,454000,408600
2004,水稲,北海道,120500,623900,561510
2005,水稲,北海道,119100,682600,614340
2006,水稲,北海道,115400,643900,579510
2007,水稲,北海道,116000,603200,542880
2008,水稲,北海道,114600,647500,582750
2009,水稲,北海道,114400,543400,489060
2010,水稲,北海道,114600,601700,541530
2011,水稲,北海道,112900,634500,571050
2012,水稲,北海道,112000,640600,576540
2013,水稲,北海道,112000,629400,566460
2014,水稲,北海道,111000,640500,576450
2015,水稲,北海道,107800,602600,542340
2016,水稲,北海道,105000,578600,520740
2017,水稲,北海道,103900,581800,523620
2018,水稲,北海道,104000,514800,463320
2019,水稲,北海道,103000,588100,529290
2020,水稲,北海道,102300,594400,534960
2021,水稲,北海道,96100,573700,516330
1985,水稲,青森県,75700,456500,410850
1986,水稲,青森県,74400,427800,385020
1987,水稲,青森県,68800,400400,360360
1988,水稲,青森県,67600,327900,295110
1989,水稲,青森県,67500,395600,356040
1990,水稲,青森県,67300,408500,367650
1991,水稲,青森県,67200,334700,301230
1992,水稲,青森県,69500,410700,369630
1993,水稲,青森県,71700,114000,102600
1994,水稲,青森県,73000,451100,405990
1995,水稲,青森県,70000,404600,364140
1996,水稲,青森県,64700,381100,342990
1997,水稲,青森県,64100,379500,341550
1998,水稲,青森県,58500,324100,291690
1999,水稲,青森県,57700,341000,306900
2000,水稲,青森県,56600,339000,305100
2001,水稲,青森県,53400,307100,276390
2002,水稲,青森県,52600,298800,268920
2003,水稲,青森県,52100,160500,144450
2004,水稲,青森県,53600,315200,283680
2005,水稲,青森県,53800,322800,290520
2006,水稲,青森県,53300,309700,278730
2007,水稲,青森県,52200,299100,269190
2008,水稲,青森県,49200,300600,270540
2009,水稲,青森県,49100,286700,258030
2010,水稲,青森県,49400,285500,256950
2011,水稲,青森県,46900,280500,252450
2012,水稲,青森県,47800,295900,266310
2013,水稲,青森県,49600,302600,272340
2014,水稲,青森県,48600,296500,266850
2015,水稲,青森県,43500,268000,241200
2016,水稲,青森県,42600,257300,231570
2017,水稲,青森県,43400,258700,232830
2018,水稲,青森県,44200,263400,237060
2019,水稲,青森県,45000,282200,253980
2020,水稲,青森県,45200,283900,255510
2021,水稲,青森県,41700,256900,231210
1985,水稲,岩手県,82500,449600,404640
1986,水稲,岩手県,81500,438500,394650
1987,水稲,岩手県,75600,409800,368820
1988,水稲,岩手県,74600,324500,292050
1989,水稲,岩手県,74500,379200,341280
1990,水稲,岩手県,74400,403200,362880
1991,水稲,岩手県,74000,339700,305730
1992,水稲,岩手県,76600,392200,352980
1993,水稲,岩手県,78300,119000,107100
1994,水稲,岩手県,79800,450100,405090
1995,水稲,岩手県,76500,376400,338760
1996,水稲,岩手県,70500,365900,329310
1997,水稲,岩手県,69900,376800,339120
1998,水稲,岩手県,63800,314500,283050
1999,水稲,岩手県,63500,346700,312030
2000,水稲,岩手県,62900,349100,314190
2001,水稲,岩手県,60800,321000,288900
2002,水稲,岩手県,60100,317300,285570
2003,水稲,岩手県,58600,226800,204120
2004,水稲,岩手県,60400,328000,295200
2005,水稲,岩手県,60600,326000,293400
2006,水稲,岩手県,60000,312000,280800
2007,水稲,岩手県,58500,309500,278550
2008,水稲,岩手県,56600,304500,274050
2009,水稲,岩手県,56400,301200,271080
2010,水稲,岩手県,56400,312500,281250
2011,水稲,岩手県,54500,297600,267840
2012,水稲,岩手県,54600,305200,274680
2013,水稲,岩手県,55400,300300,270270
2014,水稲,岩手県,55000,309100,278190
2015,水稲,岩手県,51400,287800,259020
2016,水稲,岩手県,50300,271600,244440
2017,水稲,岩手県,49800,265400,238860
2018,水稲,岩手県,50300,273100,245790
2019,水稲,岩手県,50500,279800,251820
2020,水稲,岩手県,50400,278700,250830
2021,水稲,岩手県,48400,268600,241740
1985,水稲,宮城県,108500,594600,535140
1986,水稲,宮城県,107500,533200,479880
1987,水稲,宮城県,100700,527700,474930
1988,水稲,宮城県,99500,379100,341190
1989,水稲,宮城県,99900,483500,435150
1990,水稲,宮城県,98700,555700,500130
1991,水稲,宮城県,98400,457600,411840
1992,水稲,宮城県,100600,5.00E+05,450000
1993,水稲,宮城県,102200,191100,171990
1994,水稲,宮城県,104300,560100,504090
1995,水稲,宮城県,100800,507000,456300
1996,水稲,宮城県,94200,490800,441720
1997,水稲,宮城県,93700,496600,446940
1998,水稲,宮城県,85600,417700,375930
1999,水稲,宮城県,85300,445300,400770
2000,水稲,宮城県,84300,458600,412740
2001,水稲,宮城県,79900,428300,385470
2002,水稲,宮城県,79400,427200,384480
2003,水稲,宮城県,78300,281100,252990
2004,水稲,宮城県,79200,447500,402750
2005,水稲,宮城県,79500,423700,381330
2006,水稲,宮城県,78300,399300,359370
2007,水稲,宮城県,76700,408000,367200
2008,水稲,宮城県,72400,377900,340110
2009,水稲,宮城県,73300,387800,349020
2010,水稲,宮城県,73400,4.00E+05,360000
2011,水稲,宮城県,66400,363200,326880
2012,水稲,宮城県,70200,392400,353160
2013,水稲,宮城県,72200,398500,358650
2014,水稲,宮城県,71100,397400,357660
2015,水稲,宮城県,66700,364800,328320
2016,水稲,宮城県,66600,369000,332100
2017,水稲,宮城県,66300,354700,319230
2018,水稲,宮城県,67400,371400,334260
2019,水稲,宮城県,68400,376900,339210
2020,水稲,宮城県,68300,377000,339300
2021,水稲,宮城県,64600,353400,318060
1985,水稲,秋田県,115100,692900,623610
1986,水稲,秋田県,114300,693800,624420
1987,水稲,秋田県,106700,637000,573300
1988,水稲,秋田県,105300,573900,516510
1989,水稲,秋田県,106500,600700,540630
1990,水稲,秋田県,106400,599000,539100
1991,水稲,秋田県,106100,557000,501300
1992,水稲,秋田県,109000,631100,567990
1993,水稲,秋田県,111600,535700,482130
1994,水稲,秋田県,115600,684400,615960
1995,水稲,秋田県,112500,591800,532620
1996,水稲,秋田県,105500,613000,551700
1997,水稲,秋田県,104900,606300,545670
1998,水稲,秋田県,96100,540100,486090
1999,水稲,秋田県,95800,555600,500040
2000,水稲,秋田県,95600,549700,494730
2001,水稲,秋田県,92200,529200,476280
2002,水稲,秋田県,92100,516700,465030
2003,水稲,秋田県,90400,479100,431190
2004,水稲,秋田県,93700,456300,410670
2005,水稲,秋田県,94600,544000,489600
2006,水稲,秋田県,94100,540100,486090
2007,水稲,秋田県,94100,549500,494550
2008,水稲,秋田県,89000,535800,482220
2009,水稲,秋田県,89700,508600,457740
2010,水稲,秋田県,91300,488500,439650
2011,水稲,秋田県,90000,512100,460890
2012,水稲,秋田県,91100,522000,469800
2013,水稲,秋田県,92500,529100,476190
2014,水稲,秋田県,91700,546500,491850
2015,水稲,秋田県,88700,522400,470160
2016,水稲,秋田県,87200,515400,463860
2017,水稲,秋田県,86900,498800,448920
2018,水稲,秋田県,87700,491100,441990
2019,水稲,秋田県,87800,526800,474120
2020,水稲,秋田県,87600,527400,474660
2021,水稲,秋田県,84800,501200,451080
1985,水稲,山形県,92300,565800,509220
1986,水稲,山形県,91200,550800,495720
1987,水稲,山形県,85700,514200,462780
1988,水稲,山形県,84800,454500,409050
1989,水稲,山形県,84900,491600,442440
1990,水稲,山形県,84700,493000,443700
1991,水稲,山形県,84400,461700,415530
1992,水稲,山形県,86500,498200,448380
1993,水稲,山形県,88100,404400,363960
1994,水稲,山形県,90000,553500,498150
1995,水稲,山形県,86500,461900,415710
1996,水稲,山形県,80500,479800,431820
1997,水稲,山形県,79700,474200,426780
1998,水稲,山形県,72900,425000,382500
1999,水稲,山形県,72800,438300,394470
2000,水稲,山形県,73100,450300,405270
2001,水稲,山形県,70800,425500,382950
2002,水稲,山形県,70500,423000,380700
2003,水稲,山形県,69100,378000,340200
2004,水稲,山形県,70700,396600,356940
2005,水稲,山形県,71700,429500,386550
2006,水稲,山形県,71500,419000,377100
2007,水稲,山形県,69800,419500,377550
2008,水稲,山形県,67600,417100,375390
2009,水稲,山形県,67600,401500,361350
2010,水稲,山形県,68200,406500,365850
2011,水稲,山形県,66700,392200,352980
2012,水稲,山形県,66800,403500,363150
2013,水稲,山形県,68300,415300,373770
2014,水稲,山形県,67900,423000,380700
2015,水稲,山形県,65300,400900,360810
2016,水稲,山形県,65000,395200,355680
2017,水稲,山形県,64500,385700,347130
2018,水稲,山形県,64500,374100,336690
2019,水稲,山形県,64500,404400,363960
2020,水稲,山形県,64700,402400,362160
2021,水稲,山形県,62900,393800,354420
1985,水稲,福島県,98100,542500,488250
1986,水稲,福島県,97300,516700,465030
1987,水稲,福島県,90900,491800,442620
1988,水稲,福島県,89500,344600,310140
1989,水稲,福島県,90300,452400,407160
1990,水稲,福島県,89800,486700,438030
1991,水稲,福島県,89400,431800,388620
1992,水稲,福島県,91100,471900,424710
1993,水稲,福島県,92500,289500,260550
1994,水稲,福島県,94200,536900,483210
1995,水稲,福島県,91600,463500,417150
1996,水稲,福島県,87500,476000,428400
1997,水稲,福島県,86900,464900,418410
1998,水稲,福島県,82200,393700,354330
1999,水稲,福島県,82200,450500,405450
2000,水稲,福島県,82300,447700,402930
2001,水稲,福島県,80800,445200,400680
2002,水稲,福島県,80500,441100,396990
2003,水稲,福島県,80200,377700,339930
2004,水稲,福島県,82100,455700,410130
2005,水稲,福島県,82700,449100,404190
2006,水稲,福島県,82600,433700,390330
2007,水稲,福島県,82600,445200,400680
2008,水稲,福島県,81300,438200,394380
2009,水稲,福島県,80700,436600,392940
2010,水稲,福島県,80600,445700,401130
2011,水稲,福島県,64400,353600,318240
2012,水稲,福島県,66200,368700,331830
2013,水稲,福島県,68200,382600,344340
2014,水稲,福島県,68200,381900,343710
2015,水稲,福島県,65600,365400,328860
2016,水稲,福島県,64200,356300,320670
2017,水稲,福島県,64000,351400,316260
2018,水稲,福島県,64900,364100,327690
2019,水稲,福島県,65800,368500,331650
2020,水稲,福島県,65300,367000,330300
2021,水稲,福島県,60500,335800,302220
1985,水稲,茨城県,96800,455900,410310
1986,水稲,茨城県,95300,429800,386820
1987,水稲,茨城県,89800,429200,386280
1988,水稲,茨城県,88300,377900,340110
1989,水稲,茨城県,88700,409800,368820
1990,水稲,茨城県,88200,432200,388980
1991,水稲,茨城県,87700,410400,369360
1992,水稲,茨城県,88600,427900,385110
1993,水稲,茨城県,89600,363800,327420
1994,水稲,茨城県,91800,469100,422190
1995,水稲,茨城県,89900,439600,395640
1996,水稲,茨城県,86300,447000,402300
1997,水稲,茨城県,86300,435800,392220
1998,水稲,茨城県,80700,364000,327600
1999,水稲,茨城県,80800,410500,369450
2000,水稲,茨城県,80600,428800,385920
2001,水稲,茨城県,78900,402400,362160
2002,水稲,茨城県,78100,409200,368280
2003,水稲,茨城県,77400,372300,335070
2004,水稲,茨城県,78500,429400,386460
2005,水稲,茨城県,78300,416600,374940
2006,水稲,茨城県,78100,393600,354240
2007,水稲,茨城県,78200,397300,357570
2008,水稲,茨城県,77400,415600,374040
2009,水稲,茨城県,77000,401900,361710
2010,水稲,茨城県,77200,402200,361980
2011,水稲,茨城県,75500,393400,354060
2012,水稲,茨城県,75800,409300,368370
2013,水稲,茨城県,75900,411400,370260
2014,水稲,茨城県,74700,409400,368460
2015,水稲,茨城県,70300,355000,319500
2016,水稲,茨城県,69300,361100,324990
2017,水稲,茨城県,68100,357500,321750
2018,水稲,茨城県,68400,358400,322560
2019,水稲,茨城県,68300,344200,309780
2020,水稲,茨城県,67800,360000,324000
2021,水稲,茨城県,63500,344800,310320
1985,水稲,栃木県,87500,407800,367020
1986,水稲,栃木県,86100,390000,351000
1987,水稲,栃木県,79200,369100,332190
1988,水稲,栃木県,77600,319700,287730
1989,水稲,栃木県,77400,348300,313470
1990,水稲,栃木県,76900,388300,349470
1991,水稲,栃木県,76300,374600,337140
1992,水稲,栃木県,78500,385400,346860
1993,水稲,栃木県,80000,304000,273600
1994,水稲,栃木県,85100,444200,399780
1995,水稲,栃木県,81300,413000,371700
1996,水稲,栃木県,75900,403000,362700
1997,水稲,栃木県,75900,406800,366120
1998,水稲,栃木県,69400,321300,289170
1999,水稲,栃木県,69400,358800,322920
2000,水稲,栃木県,69000,378100,340290
2001,水稲,栃木県,67200,362200,325980
2002,水稲,栃木県,66600,362300,326070
2003,水稲,栃木県,65300,316700,285030
2004,水稲,栃木県,68600,391000,351900
2005,水稲,栃木県,68200,373100,335790
2006,水稲,栃木県,66700,338800,304920
2007,水稲,栃木県,67200,358800,322920
2008,水稲,栃木県,63500,347300,312570
2009,水稲,栃木県,63300,343700,309330
2010,水稲,栃木県,63900,341900,307710
2011,水稲,栃木県,64000,350100,315090
2012,水稲,栃木県,63200,343800,309420
2013,水稲,栃木県,66200,363400,327060
2014,水稲,栃木県,63900,343800,309420
2015,水稲,栃木県,58300,309600,278640
2016,水稲,栃木県,57400,316300,284670
2017,水稲,栃木県,57600,293800,264420
2018,水稲,栃木県,58500,321800,289620
2019,水稲,栃木県,59200,311400,280260
2020,水稲,栃木県,59200,318500,286650
2021,水稲,栃木県,54800,300900,270810
1985,水稲,群馬県,27300,127800,115020
1986,水稲,群馬県,26700,121800,109620
1987,水稲,群馬県,24000,114000,102600
1988,水稲,群馬県,23400,93800,84420
1989,水稲,群馬県,22900,103500,93150
1990,水稲,群馬県,22500,106700,96030
1991,水稲,群馬県,21800,99200,89280
1992,水稲,群馬県,22200,107000,96300
1993,水稲,群馬県,22200,87900,79110
1994,水稲,群馬県,24100,123400,111060
1995,水稲,群馬県,23000,115700,104130
1996,水稲,群馬県,21200,108500,97650
1997,水稲,群馬県,20900,104500,94050
1998,水稲,群馬県,19500,87200,78480
1999,水稲,群馬県,19500,96100,86490
2000,水稲,群馬県,19400,91600,82440
2001,水稲,群馬県,19000,90400,81360
2002,水稲,群馬県,18800,91700,82530
2003,水稲,群馬県,18800,87000,78300
2004,水稲,群馬県,19200,98900,89010
2005,水稲,群馬県,19400,95600,86040
2006,水稲,群馬県,19000,89500,80550
2007,水稲,群馬県,18800,89900,80910
2008,水稲,群馬県,18300,91700,82530
2009,水稲,群馬県,18200,91000,81900
2010,水稲,群馬県,18000,73100,65790
2011,水稲,群馬県,17600,88200,79380
2012,水稲,群馬県,17800,90400,81360
2013,水稲,群馬県,17600,89600,80640
2014,水稲,群馬県,17300,86500,77850
2015,水稲,群馬県,15800,77300,69570
2016,水稲,群馬県,15400,77800,70020
2017,水稲,群馬県,15500,77300,69570
2018,水稲,群馬県,15600,78900,71010
2019,水稲,群馬県,15500,75300,67770
2020,水稲,群馬県,15500,76900,69210
2021,水稲,群馬県,14900,73300,65970
1985,水稲,埼玉県,49400,221800,199620
1986,水稲,埼玉県,48400,210100,189090
1987,水稲,埼玉県,45300,216500,194850
1988,水稲,埼玉県,44400,189600,170640
1989,水稲,埼玉県,43900,200600,180540
1990,水稲,埼玉県,43300,201800,181620
1991,水稲,埼玉県,42600,195500,175950
1992,水稲,埼玉県,42700,200700,180630
1993,水稲,埼玉県,42800,176800,159120
1994,水稲,埼玉県,44300,219300,197370
1995,水稲,埼玉県,42800,208000,187200
1996,水稲,埼玉県,40000,206000,185400
1997,水稲,埼玉県,39600,195600,176040
1998,水稲,埼玉県,37500,168800,151920
1999,水稲,埼玉県,37500,180400,162360
2000,水稲,埼玉県,37300,184300,165870
2001,水稲,埼玉県,36800,179600,161640
2002,水稲,埼玉県,36700,176900,159210
2003,水稲,埼玉県,36700,170300,153270
2004,水稲,埼玉県,37300,197300,177570
2005,水稲,埼玉県,37300,184300,165870
2006,水稲,埼玉県,37200,173400,156060
2007,水稲,埼玉県,37000,175000,157500
2008,水稲,埼玉県,35800,175800,158220
2009,水稲,埼玉県,35700,177400,159660
2010,水稲,埼玉県,35700,152100,136890
2011,水稲,埼玉県,35200,170700,153630
2012,水稲,埼玉県,35300,171600,154440
2013,水稲,埼玉県,35400,170300,153270
2014,水稲,埼玉県,34400,172300,155070
2015,水稲,埼玉県,32200,154600,139140
2016,水稲,埼玉県,31700,156600,140940
2017,水稲,埼玉県,31600,156100,140490
2018,水稲,埼玉県,31900,155400,139860
2019,水稲,埼玉県,32000,154200,138780
2020,水稲,埼玉県,31900,158200,142380
2021,水稲,埼玉県,30000,152400,137160
1985,水稲,千葉県,75700,370200,333180
1986,水稲,千葉県,74500,377000,339300
1987,水稲,千葉県,70500,350400,315360
1988,水稲,千葉県,70400,323100,290790
1989,水稲,千葉県,70500,341900,307710
1990,水稲,千葉県,70500,344700,310230
1991,水稲,千葉県,70300,349400,314460
