年,品目,都道府県,栽培面積（ha）,生葉収穫量（t）,荒茶生産量（t）
1985,茶,岩手県,9,6,1
1986,茶,岩手県,9,6,1
1987,茶,岩手県,9,7,1
1988,茶,岩手県,8,8,2
1989,茶,岩手県,7,7,2
1990,茶,岩手県,7,7,1
1991,茶,岩手県,7,6,1
1992,茶,岩手県,7,4,1
1993,茶,岩手県,7,4,1
1994,茶,岩手県,7,NA,NA
1995,茶,岩手県,8,NA,NA
1996,茶,岩手県,8,4,1
1997,茶,岩手県,7,NA,NA
1998,茶,岩手県,6,NA,NA
1999,茶,岩手県,4,3,1
2000,茶,岩手県,4,NA,NA
2001,茶,岩手県,4,NA,NA
2002,茶,岩手県,4,2,0
2003,茶,岩手県,4,2,0
2004,茶,岩手県,4,2,0
2005,茶,岩手県,4,NA,NA
2006,茶,岩手県,4,NA,NA
2007,茶,岩手県,3,NA,NA
2008,茶,岩手県,3,NA,NA
2009,茶,岩手県,3,2,0
2010,茶,岩手県,3,NA,NA
2011,茶,岩手県,3,NA,NA
2012,茶,岩手県,3,NA,NA
2013,茶,岩手県,3,NA,NA
2014,茶,岩手県,3,NA,NA
2015,茶,岩手県,3,NA,NA
2016,茶,岩手県,2,NA,NA
2017,茶,岩手県,NA,NA,NA
2018,茶,岩手県,NA,NA,NA
2019,茶,岩手県,NA,NA,NA
2020,茶,岩手県,3,NA,NA
2021,茶,岩手県,NA,NA,NA
1985,茶,宮城県,29,66,13
1986,茶,宮城県,23,33,7
1987,茶,宮城県,22,38,8
1988,茶,宮城県,22,39,8
1989,茶,宮城県,21,41,9
1990,茶,宮城県,21,42,10
1991,茶,宮城県,21,41,9
1992,茶,宮城県,21,37,8
1993,茶,宮城県,21,33,7
1994,茶,宮城県,21,NA,NA
1995,茶,宮城県,21,NA,NA
1996,茶,宮城県,20,31,6
1997,茶,宮城県,19,NA,NA
1998,茶,宮城県,19,NA,NA
1999,茶,宮城県,19,30,6
2000,茶,宮城県,19,NA,NA
2001,茶,宮城県,17,NA,NA
2002,茶,宮城県,17,20,4
2003,茶,宮城県,16,21,4
2004,茶,宮城県,16,21,4
2005,茶,宮城県,17,NA,NA
2006,茶,宮城県,16,NA,NA
2007,茶,宮城県,14,NA,NA
2008,茶,宮城県,14,NA,NA
2009,茶,宮城県,14,25,5
2010,茶,宮城県,14,NA,NA
2011,茶,宮城県,14,NA,NA
2012,茶,宮城県,14,NA,NA
2013,茶,宮城県,14,NA,NA
2014,茶,宮城県,14,8,2
2015,茶,宮城県,14,NA,NA
2016,茶,宮城県,14,NA,NA
2017,茶,宮城県,NA,NA,NA
2018,茶,宮城県,NA,NA,NA
2019,茶,宮城県,NA,NA,NA
2020,茶,宮城県,14,6,1
2021,茶,宮城県,NA,NA,NA
1985,茶,茨城県,1300,2930,642
1986,茶,茨城県,1230,3050,673
1987,茶,茨城県,1160,2980,668
1988,茶,茨城県,1090,2760,618
1989,茶,茨城県,1050,2040,453
1990,茶,茨城県,1020,2320,504
1991,茶,茨城県,997,1660,364
1992,茶,茨城県,962,2120,465
1993,茶,茨城県,943,2150,477
1994,茶,茨城県,930,NA,NA
1995,茶,茨城県,907,NA,NA
1996,茶,茨城県,870,1830,404
1997,茶,茨城県,812,NA,NA
1998,茶,茨城県,776,NA,NA
1999,茶,茨城県,741,1890,422
2000,茶,茨城県,720,NA,NA
2001,茶,茨城県,685,NA,NA
2002,茶,茨城県,668,1700,383
2003,茶,茨城県,627,1760,406
2004,茶,茨城県,605,1730,406
2005,茶,茨城県,590,1760,410
2006,茶,茨城県,569,1290,283
2007,茶,茨城県,543,1510,334
2008,茶,茨城県,523,1560,349
2009,茶,茨城県,510,1430,327
2010,茶,茨城県,480,1370,308
2011,茶,茨城県,450,149,13
2012,茶,茨城県,399,893,197
2013,茶,茨城県,396,975,222
2014,茶,茨城県,376,1170,272
2015,茶,茨城県,358,NA,NA
2016,茶,茨城県,353,NA,NA
2017,茶,茨城県,NA,NA,NA
2018,茶,茨城県,NA,NA,NA
2019,茶,茨城県,NA,NA,NA
2020,茶,茨城県,347,1120,260
2021,茶,茨城県,NA,NA,NA
1985,茶,栃木県,258,315,47
1986,茶,栃木県,257,297,46
1987,茶,栃木県,255,270,54
1988,茶,栃木県,253,246,39
1989,茶,栃木県,248,173,28
1990,茶,栃木県,238,184,37
1991,茶,栃木県,224,110,16
1992,茶,栃木県,195,129,18
1993,茶,栃木県,179,115,17
1994,茶,栃木県,161,NA,NA
1995,茶,栃木県,156,NA,NA
1996,茶,栃木県,131,89,16
1997,茶,栃木県,118,NA,NA
1998,茶,栃木県,117,NA,NA
1999,茶,栃木県,98,65,11
2000,茶,栃木県,97,NA,NA
2001,茶,栃木県,95,NA,NA
2002,茶,栃木県,95,72,13
2003,茶,栃木県,88,70,12
2004,茶,栃木県,87,70,12
2005,茶,栃木県,78,NA,NA
2006,茶,栃木県,78,NA,NA
2007,茶,栃木県,78,NA,NA
2008,茶,栃木県,78,NA,NA
2009,茶,栃木県,78,55,14
2010,茶,栃木県,69,NA,NA
2011,茶,栃木県,69,NA,NA
2012,茶,栃木県,69,NA,NA
2013,茶,栃木県,69,NA,NA
2014,茶,栃木県,68,28,7
2015,茶,栃木県,66,NA,NA
2016,茶,栃木県,66,NA,NA
2017,茶,栃木県,NA,NA,NA
2018,茶,栃木県,NA,NA,NA
2019,茶,栃木県,NA,NA,NA
2020,茶,栃木県,20,20,5
2021,茶,栃木県,NA,NA,NA
1985,茶,群馬県,144,214,43
1986,茶,群馬県,140,167,33
1987,茶,群馬県,138,159,32
1988,茶,群馬県,138,184,36
1989,茶,群馬県,138,158,32
1990,茶,群馬県,124,149,30
1991,茶,群馬県,113,121,24
1992,茶,群馬県,103,106,21
1993,茶,群馬県,97,78,15
1994,茶,群馬県,97,NA,NA
1995,茶,群馬県,97,NA,NA
1996,茶,群馬県,75,66,13
1997,茶,群馬県,74,NA,NA
1998,茶,群馬県,74,NA,NA
1999,茶,群馬県,68,68,15
2000,茶,群馬県,63,NA,NA
2001,茶,群馬県,62,NA,NA
2002,茶,群馬県,62,49,10
2003,茶,群馬県,62,44,9
2004,茶,群馬県,62,27,6
2005,茶,群馬県,61,NA,NA
2006,茶,群馬県,60,NA,NA
2007,茶,群馬県,58,NA,NA
2008,茶,群馬県,56,NA,NA
2009,茶,群馬県,56,22,4
2010,茶,群馬県,53,NA,NA
2011,茶,群馬県,53,NA,NA
2012,茶,群馬県,53,NA,NA
2013,茶,群馬県,48,NA,NA
2014,茶,群馬県,46,NA,NA
2015,茶,群馬県,44,NA,NA
2016,茶,群馬県,36,NA,NA
2017,茶,群馬県,NA,NA,NA
2018,茶,群馬県,NA,NA,NA
2019,茶,群馬県,NA,NA,NA
2020,茶,群馬県,8,NA,NA
2021,茶,群馬県,NA,NA,NA
1985,茶,埼玉県,3170,6030,1300
1986,茶,埼玉県,3100,6300,1430
1987,茶,埼玉県,3070,6580,1500
1988,茶,埼玉県,3040,5860,1340
1989,茶,埼玉県,2900,6940,1600
1990,茶,埼玉県,2840,7220,1600
1991,茶,埼玉県,2590,6010,1340
1992,茶,埼玉県,2360,6270,1390
1993,茶,埼玉県,2160,5590,1280
1994,茶,埼玉県,1880,6180,1410
1995,茶,埼玉県,1750,6290,1400
1996,茶,埼玉県,1560,4140,915
1997,茶,埼玉県,1490,5110,1130
1998,茶,埼玉県,1430,5430,1230
1999,茶,埼玉県,1380,4500,936
2000,茶,埼玉県,1320,4950,1060
2001,茶,埼玉県,1250,3910,839
2002,茶,埼玉県,1240,4420,939
2003,茶,埼玉県,1220,4310,932
2004,茶,埼玉県,1190,3680,792
2005,茶,埼玉県,1170,4700,1040
2006,茶,埼玉県,1160,3910,831
2007,茶,埼玉県,1130,4310,926
2008,茶,埼玉県,1110,4230,914
2009,茶,埼玉県,1060,3840,825
2010,茶,埼玉県,1010,3390,729
2011,茶,埼玉県,968,3010,631
2012,茶,埼玉県,961,2750,581
2013,茶,埼玉県,925,2490,537
2014,茶,埼玉県,899,2560,560
2015,茶,埼玉県,890,2750,598
2016,茶,埼玉県,884,3060,652
2017,茶,埼玉県,871,3280,698
2018,茶,埼玉県,855,4040,898
2019,茶,埼玉県,843,4020,881
2020,茶,埼玉県,825,3480,754
2021,茶,埼玉県,783,3400,728
1985,茶,千葉県,526,1270,283
1986,茶,千葉県,503,1220,273
1987,茶,千葉県,488,1170,261
1988,茶,千葉県,466,1030,226
1989,茶,千葉県,455,614,133
1990,茶,千葉県,437,990,216
1991,茶,千葉県,418,591,127
1992,茶,千葉県,410,874,199
1993,茶,千葉県,407,774,173
1994,茶,千葉県,398,NA,NA
1995,茶,千葉県,389,NA,NA
1996,茶,千葉県,361,592,129
1997,茶,千葉県,343,NA,NA
1998,茶,千葉県,321,NA,NA
1999,茶,千葉県,308,671,137
2000,茶,千葉県,299,NA,NA
2001,茶,千葉県,292,NA,NA
2002,茶,千葉県,284,388,81
2003,茶,千葉県,271,339,73
2004,茶,千葉県,248,340,75
2005,茶,千葉県,229,NA,NA
2006,茶,千葉県,227,NA,NA
2007,茶,千葉県,224,NA,NA
2008,茶,千葉県,224,NA,NA
2009,茶,千葉県,223,216,53
2010,茶,千葉県,220,NA,NA
2011,茶,千葉県,220,NA,NA
2012,茶,千葉県,220,NA,NA
2013,茶,千葉県,220,NA,NA
2014,茶,千葉県,215,130,30
2015,茶,千葉県,203,NA,NA
2016,茶,千葉県,194,NA,NA
2017,茶,千葉県,NA,NA,NA
2018,茶,千葉県,NA,NA,NA
2019,茶,千葉県,NA,NA,NA
2020,茶,千葉県,185,77,18
2021,茶,千葉県,NA,NA,NA
1985,茶,東京都,378,687,162
1986,茶,東京都,383,865,193
1987,茶,東京都,385,784,185
1988,茶,東京都,378,647,141
1989,茶,東京都,365,668,147
1990,茶,東京都,356,611,136
1991,茶,東京都,349,551,124
1992,茶,東京都,332,545,110
1993,茶,東京都,314,451,94
1994,茶,東京都,298,NA,NA
1995,茶,東京都,283,NA,NA
1996,茶,東京都,271,362,86
1997,茶,東京都,250,NA,NA
1998,茶,東京都,235,NA,NA
1999,茶,東京都,222,390,91
2000,茶,東京都,202,NA,NA
2001,茶,東京都,174,NA,NA
2002,茶,東京都,172,355,72
2003,茶,東京都,169,356,86
2004,茶,東京都,168,271,65
2005,茶,東京都,168,NA,NA
2006,茶,東京都,162,NA,NA
2007,茶,東京都,160,NA,NA
2008,茶,東京都,157,NA,NA
2009,茶,東京都,144,296,66
2010,茶,東京都,142,NA,NA
2011,茶,東京都,144,NA,NA
2012,茶,東京都,144,NA,NA
2013,茶,東京都,144,NA,NA
2014,茶,東京都,144,230,53
2015,茶,東京都,144,NA,NA
2016,茶,東京都,144,NA,NA
2017,茶,東京都,NA,NA,NA
2018,茶,東京都,NA,NA,NA
2019,茶,東京都,NA,NA,NA
2020,茶,東京都,120,201,41
2021,茶,東京都,NA,NA,NA
1985,茶,神奈川県,313,1380,299
1986,茶,神奈川県,310,1250,267
1987,茶,神奈川県,317,1360,283
1988,茶,神奈川県,313,1210,250
1989,茶,神奈川県,311,992,189
1990,茶,神奈川県,309,1200,246
1991,茶,神奈川県,302,1110,222
1992,茶,神奈川県,297,1120,230
1993,茶,神奈川県,296,1140,240
1994,茶,神奈川県,295,NA,NA
1995,茶,神奈川県,294,NA,NA
1996,茶,神奈川県,288,856,174
1997,茶,神奈川県,286,NA,NA
1998,茶,神奈川県,279,NA,NA
1999,茶,神奈川県,266,914,185
2000,茶,神奈川県,263,NA,NA
2001,茶,神奈川県,262,NA,NA
2002,茶,神奈川県,261,955,216
2003,茶,神奈川県,265,1090,238
2004,茶,神奈川県,264,903,196
2005,茶,神奈川県,265,NA,NA
2006,茶,神奈川県,266,NA,NA
2007,茶,神奈川県,267,NA,NA
2008,茶,神奈川県,269,NA,NA
2009,茶,神奈川県,273,1070,242
2010,茶,神奈川県,274,NA,NA
2011,茶,神奈川県,275,NA,NA
2012,茶,神奈川県,275,NA,NA
2013,茶,神奈川県,260,NA,NA
2014,茶,神奈川県,263,629,137
2015,茶,神奈川県,259,NA,NA
2016,茶,神奈川県,257,NA,NA
2017,茶,神奈川県,NA,NA,NA
2018,茶,神奈川県,NA,NA,NA
2019,茶,神奈川県,NA,NA,NA
2020,茶,神奈川県,229,666,146
2021,茶,神奈川県,NA,NA,NA
1985,茶,新潟県,49,184,45
1986,茶,新潟県,42,161,41
1987,茶,新潟県,39,157,42
1988,茶,新潟県,38,140,28
1989,茶,新潟県,37,139,28
1990,茶,新潟県,34,146,32
1991,茶,新潟県,34,123,25
1992,茶,新潟県,30,117,33
1993,茶,新潟県,30,100,24
1994,茶,新潟県,25,NA,NA
1995,茶,新潟県,25,NA,NA
1996,茶,新潟県,25,136,36
1997,茶,新潟県,25,NA,NA
1998,茶,新潟県,25,NA,NA
1999,茶,新潟県,25,112,28
2000,茶,新潟県,24,NA,NA
2001,茶,新潟県,23,NA,NA
2002,茶,新潟県,21,89,23
2003,茶,新潟県,20,82,21
2004,茶,新潟県,20,63,15
2005,茶,新潟県,20,NA,NA
2006,茶,新潟県,20,NA,NA
2007,茶,新潟県,21,NA,NA
2008,茶,新潟県,21,NA,NA
2009,茶,新潟県,21,37,10
2010,茶,新潟県,21,NA,NA
2011,茶,新潟県,20,NA,NA
2012,茶,新潟県,20,NA,NA
2013,茶,新潟県,22,NA,NA
2014,茶,新潟県,22,37,11
2015,茶,新潟県,22,NA,NA
2016,茶,新潟県,22,NA,NA
2017,茶,新潟県,NA,NA,NA
2018,茶,新潟県,NA,NA,NA
2019,茶,新潟県,NA,NA,NA
2020,茶,新潟県,22,30,8
2021,茶,新潟県,NA,NA,NA
1985,茶,富山県,45,146,37
1986,茶,富山県,45,117,30
1987,茶,富山県,37,81,20
1988,茶,富山県,26,60,14
1989,茶,富山県,18,47,11
1990,茶,富山県,17,52,13
1991,茶,富山県,12,45,11
1992,茶,富山県,9,35,8
1993,茶,富山県,8,35,9
1994,茶,富山県,8,NA,NA
1995,茶,富山県,8,NA,NA
1996,茶,富山県,8,31,8
1997,茶,富山県,9,NA,NA
1998,茶,富山県,9,NA,NA
1999,茶,富山県,8,20,5
2000,茶,富山県,6,NA,NA
2001,茶,富山県,6,NA,NA
2002,茶,富山県,4,12,3
2003,茶,富山県,4,11,2
2004,茶,富山県,3,12,2
2005,茶,富山県,3,NA,NA
2006,茶,富山県,3,NA,NA
2007,茶,富山県,3,NA,NA
2008,茶,富山県,3,NA,NA
2009,茶,富山県,3,11,3
2010,茶,富山県,3,NA,NA
2011,茶,富山県,3,NA,NA
2012,茶,富山県,3,NA,NA
2013,茶,富山県,3,NA,NA
2014,茶,富山県,3,NA,NA
2015,茶,富山県,2,NA,NA
2016,茶,富山県,2,NA,NA
2017,茶,富山県,NA,NA,NA
2018,茶,富山県,NA,NA,NA
2019,茶,富山県,NA,NA,NA
2020,茶,富山県,NA,NA,NA
2021,茶,富山県,NA,NA,NA
1985,茶,石川県,28,38,9
1986,茶,石川県,24,16,4
1987,茶,石川県,24,33,6
1988,茶,石川県,22,24,5
1989,茶,石川県,20,27,6
1990,茶,石川県,20,39,9
1991,茶,石川県,18,19,4
1992,茶,石川県,15,25,6
1993,茶,石川県,15,27,6
1994,茶,石川県,14,NA,NA
1995,茶,石川県,14,NA,NA
1996,茶,石川県,13,28,6
1997,茶,石川県,11,NA,NA
1998,茶,石川県,11,NA,NA
1999,茶,石川県,11,10,2
2000,茶,石川県,8,NA,NA
2001,茶,石川県,8,NA,NA
2002,茶,石川県,7,4,1
2003,茶,石川県,7,2,0
2004,茶,石川県,5,2,0
2005,茶,石川県,5,NA,NA
2006,茶,石川県,5,NA,NA
2007,茶,石川県,4,NA,NA
2008,茶,石川県,4,NA,NA
2009,茶,石川県,4,3,1
2010,茶,石川県,4,NA,NA
2011,茶,石川県,4,NA,NA
2012,茶,石川県,4,NA,NA
2013,茶,石川県,4,NA,NA
2014,茶,石川県,4,NA,NA
2015,茶,石川県,5,NA,NA
2016,茶,石川県,5,NA,NA
2017,茶,石川県,NA,NA,NA
2018,茶,石川県,NA,NA,NA
2019,茶,石川県,NA,NA,NA
2020,茶,石川県,4,4,1
2021,茶,石川県,NA,NA,NA
1985,茶,福井県,52,114,28
1986,茶,福井県,47,51,12
1987,茶,福井県,37,84,20
1988,茶,福井県,23,81,18
1989,茶,福井県,20,50,12
1990,茶,福井県,14,40,10
1991,茶,福井県,10,32,8
1992,茶,福井県,8,44,10
1993,茶,福井県,8,36,7
1994,茶,福井県,8,NA,NA
1995,茶,福井県,5,NA,NA
1996,茶,福井県,4,7,1
1997,茶,福井県,4,NA,NA
1998,茶,福井県,4,NA,NA
1999,茶,福井県,4,11,2
2000,茶,福井県,4,NA,NA
2001,茶,福井県,5,NA,NA
2002,茶,福井県,4,11,2
2003,茶,福井県,4,10,2
2004,茶,福井県,4,9,2
2005,茶,福井県,4,NA,NA
2006,茶,福井県,3,NA,NA
2007,茶,福井県,3,NA,NA
2008,茶,福井県,3,NA,NA
2009,茶,福井県,3,7,1
2010,茶,福井県,3,NA,NA
2011,茶,福井県,3,NA,NA
2012,茶,福井県,3,NA,NA
2013,茶,福井県,3,NA,NA
2014,茶,福井県,3,4,1
2015,茶,福井県,2,NA,NA
2016,茶,福井県,2,NA,NA
2017,茶,福井県,NA,NA,NA
2018,茶,福井県,NA,NA,NA
2019,茶,福井県,NA,NA,NA
2020,茶,福井県,2,2,0
2021,茶,福井県,NA,NA,NA
1985,茶,山梨県,229,605,118
1986,茶,山梨県,219,547,110
1987,茶,山梨県,213,575,116
1988,茶,山梨県,212,602,122
1989,茶,山梨県,213,572,116
1990,茶,山梨県,215,593,120
1991,茶,山梨県,215,470,95
1992,茶,山梨県,218,543,112
1993,茶,山梨県,219,523,106
1994,茶,山梨県,214,NA,NA
1995,茶,山梨県,209,NA,NA
1996,茶,山梨県,207,349,68
1997,茶,山梨県,206,NA,NA
1998,茶,山梨県,202,NA,NA
1999,茶,山梨県,202,401,78
2000,茶,山梨県,202,NA,NA
2001,茶,山梨県,199,NA,NA
2002,茶,山梨県,197,411,75
2003,茶,山梨県,177,358,70
2004,茶,山梨県,171,276,54
2005,茶,山梨県,157,NA,NA
2006,茶,山梨県,150,NA,NA
2007,茶,山梨県,144,NA,NA
2008,茶,山梨県,140,NA,NA
2009,茶,山梨県,138,303,61
2010,茶,山梨県,136,NA,NA
2011,茶,山梨県,132,NA,NA
2012,茶,山梨県,130,NA,NA
2013,茶,山梨県,127,NA,NA
2014,茶,山梨県,125,194,36
2015,茶,山梨県,113,NA,NA
2016,茶,山梨県,111,NA,NA
2017,茶,山梨県,NA,NA,NA
2018,茶,山梨県,NA,NA,NA
2019,茶,山梨県,NA,NA,NA
2020,茶,山梨県,102,155,31
2021,茶,山梨県,NA,NA,NA
1985,茶,長野県,115,264,56
1986,茶,長野県,115,228,47
1987,茶,長野県,115,260,53
1988,茶,長野県,113,259,53
1989,茶,長野県,113,266,55
1990,茶,長野県,114,265,56
1991,茶,長野県,111,275,59
1992,茶,長野県,111,249,51
1993,茶,長野県,111,256,54
1994,茶,長野県,108,NA,NA
1995,茶,長野県,106,NA,NA
1996,茶,長野県,103,209,45
1997,茶,長野県,103,NA,NA
1998,茶,長野県,103,NA,NA
1999,茶,長野県,105,222,46
2000,茶,長野県,105,NA,NA
2001,茶,長野県,105,NA,NA
2002,茶,長野県,105,231,44
2003,茶,長野県,101,212,43
2004,茶,長野県,99,167,35
2005,茶,長野県,92,NA,NA
2006,茶,長野県,89,NA,NA
2007,茶,長野県,88,NA,NA
2008,茶,長野県,87,NA,NA
2009,茶,長野県,86,171,38
2010,茶,長野県,85,NA,NA
2011,茶,長野県,84,NA,NA
2012,茶,長野県,84,NA,NA
2013,茶,長野県,83,NA,NA
2014,茶,長野県,82,101,22
2015,茶,長野県,75,NA,NA
2016,茶,長野県,69,NA,NA
2017,茶,長野県,NA,NA,NA
2018,茶,長野県,NA,NA,NA
2019,茶,長野県,NA,NA,NA
2020,茶,長野県,52,61,13
2021,茶,長野県,NA,NA,NA
1985,茶,岐阜県,1440,6160,1390
1986,茶,岐阜県,1430,5600,1220
1987,茶,岐阜県,1410,5650,1250
1988,茶,岐阜県,1390,5390,1210
1989,茶,岐阜県,1380,4950,1070
1990,茶,岐阜県,1360,5060,1120
1991,茶,岐阜県,1340,4340,946
1992,茶,岐阜県,1310,4710,1020
1993,茶,岐阜県,1280,4590,983
1994,茶,岐阜県,1250,4080,904
1995,茶,岐阜県,1220,4480,968
1996,茶,岐阜県,1190,3970,879
1997,茶,岐阜県,1170,4310,939
1998,茶,岐阜県,1130,4290,912
1999,茶,岐阜県,1090,3820,851
2000,茶,岐阜県,1070,NA,NA
2001,茶,岐阜県,1050,NA,NA
2002,茶,岐阜県,1040,3750,821
2003,茶,岐阜県,1040,3780,843
2004,茶,岐阜県,1040,3480,775
2005,茶,岐阜県,1040,3690,820
2006,茶,岐阜県,1040,2790,609
2007,茶,岐阜県,1030,3550,789
2008,茶,岐阜県,1030,3820,847
2009,茶,岐阜県,1020,3240,708
2010,茶,岐阜県,1000,2850,637
2011,茶,岐阜県,982,2820,641
2012,茶,岐阜県,973,2500,562
2013,茶,岐阜県,944,2540,571
2014,茶,岐阜県,882,2760,625
2015,茶,岐阜県,806,NA,NA
2016,茶,岐阜県,734,NA,NA
2017,茶,岐阜県,NA,NA,NA
2018,茶,岐阜県,NA,NA,NA
2019,茶,岐阜県,NA,NA,NA
2020,茶,岐阜県,592,2160,470
2021,茶,岐阜県,NA,NA,NA
1985,茶,静岡県,23000,205500,48000
1986,茶,静岡県,23100,200800,46400
1987,茶,静岡県,23200,209200,48100
1988,茶,静岡県,23300,197400,44700
1989,茶,静岡県,23200,200600,45400
1990,茶,静岡県,23100,197600,44100
1991,茶,静岡県,23000,196700,44200
1992,茶,静岡県,22800,201500,45200
1993,茶,静岡県,22500,204400,46000
1994,茶,静岡県,22200,190600,42500
1995,茶,静岡県,22000,182000,40300
1996,茶,静岡県,21800,178700,40800
